Entity,COR,INC,PAR,SPU,MIS,IGN
"Abbott Building Road Town",0,1,0,0,0,0
"the Equipment Advances",0,0,0,0,0,1
"Fifth Avenue",0,0,0,0,0,1
"Person",0,0,0,0,0,1
"Cricket Square",0,1,0,0,0,0
"Zhongguancun Software Park",0,1,0,0,0,0
"the Silicon S P Agreement",0,0,0,0,0,1
"Sections 2",0,0,0,0,0,1
"the Perfection Certificate",0,0,0,0,0,1
"Schedule 1.",0,0,0,0,0,1
"Bartlett Street",0,0,0,0,0,1
"Information Tower",0,0,0,0,0,1
"Borrower ' s",0,0,0,0,0,1
"Collection",0,0,0,0,0,1
"Guidu Road",0,1,0,0,0,0
"the Default Rate",0,0,0,0,0,1
"Property",0,0,0,0,0,1
"Harbor Road",0,1,0,0,0,0
*TOTAL*,0,5,0,0,0,13
