Entity,COR,INC,PAR,SPU,MIS,IGN
"SILICIUM DE PROVENCE SAS",1,0,0,0,0,0
"Letter of Credit",0,0,0,1,0,0
"Availability",0,0,0,1,0,0
"Utilities",0,0,0,1,0,0
"chattel paper",0,0,0,1,0,0
"g Successors and Assigns",0,0,0,1,0,0
"Borrower '",0,0,0,1,0,0
"the Newport News Treatment Plant",0,0,0,1,0,0
"Agent",0,0,1,0,0,0
"Moody",0,0,0,1,0,0
"Bizexpress Limited",1,0,0,0,0,0
"Credit Extension",0,0,0,1,0,0
"Security for the Loan",0,0,0,1,0,0
"the Assignment",0,0,0,1,0,0
"The Parties hereto shall",0,0,0,1,0,0
"REOC",0,0,0,1,0,0
"Headings",0,0,0,1,0,0
"Virginia general partnership",0,0,0,0,1,0
"IRREVOCABLY",0,0,0,1,0,0
"BIG Center",0,0,0,0,1,0
"SVB",0,0,0,1,0,0
"Borrower owes Bank",0,0,1,0,0,0
"COSTS",0,0,0,1,0,0
"a. Repair",0,0,0,1,0,0
"the "" Borrower Company """,0,0,0,1,0,0
"GAAP",0,0,0,1,0,0
"Borrower",0,1,0,0,0,0
"the People ' s Republic of China",0,0,0,1,0,0
"Other Equipment",0,0,0,1,0,0
"the Pier IX",0,0,0,1,0,0
"Confidential Information",0,0,0,1,0,0
"USD",0,0,0,1,0,0
"ARTICLE IX DEFAULTS AND REMEDIES Section 9. 1",0,0,0,1,0,0
"Hereinafter",0,0,0,1,0,0
"SVP GOLD HILL",0,0,0,1,0,0
"Business Locations",0,0,0,1,0,0
"the Capital Contributions",0,0,0,1,0,0
"DOMINION TERMINAL ASSOCIATES",1,0,0,0,0,0
"Power of Attorney",0,0,0,1,0,0
"DOCSTART Subordinated Loan Agreement Silicium de Provence SAS",0,0,1,0,0,0
"g Inter company Indebtedness",0,0,0,1,0,0
"Communications",0,0,0,1,0,0
"Amortization Date",0,0,0,1,0,0
"Liens",0,0,0,1,0,0
"State",0,0,0,1,0,0
"Bank for Borrower ' s",0,0,1,0,0,0
"the Parent Company Guaranty",0,0,0,1,0,0
"Trustee",0,0,0,1,0,0
"the Loan Amount for such Equipment Advance",0,0,0,1,0,0
"REPRESENTATIONS OF SERVICER",0,0,0,1,0,0
"Obligations",0,0,0,1,0,0
"Funding Date",0,0,0,1,0,0
"Delaware corporation",0,0,0,0,1,0
"the Pension Benefit Guaranty Corporation",0,0,1,0,0,0
"bank",0,0,0,0,1,0
"the Maturity Date",0,0,0,1,0,0
"GOLD HILL VENTURE LENDING",1,0,0,0,0,0
"a Borrower Related Party",0,0,0,1,0,0
"Borrower ' s or any Subsidiary '",0,0,0,1,0,0
"CONFLICTS",0,0,0,1,0,0
"the Final Payment",0,0,0,1,0,0
"Lenovo",0,0,1,0,0,0
"Delaware",0,0,0,0,1,0
"Used Equipment",0,0,0,1,0,0
"the Perfection Certificate",0,0,0,1,0,0
"Silicon Valley Bank",1,0,0,0,0,0
"svb",0,0,0,0,1,0
"VP",0,0,0,1,0,0
"Register",0,0,0,1,0,0
"Loan Document",0,0,0,1,0,0
"the Contingent Obligation",0,0,0,1,0,0
"IL Subsidiary",0,0,0,1,0,0
"Parent Company",0,0,0,1,0,0
"Worksoft",1,0,0,0,0,0
"Bizexperss",0,0,0,0,1,0
"silo",0,0,0,1,0,0
"Account Number _",0,0,0,1,0,0
"Vringo ,",0,0,1,0,0,0
"Controller of Borrower",0,0,0,1,0,0
"the Borrower Company",0,0,0,1,0,0
"Bonds",0,0,0,1,0,0
"Accepted Loan Servicing Practices",0,0,0,1,0,0
"the Articles and Sections of this Loan Agreement",0,0,0,1,0,0
"Borrower or Guarantor",0,0,0,1,0,0
"Newton Executive Park",0,1,0,0,0,0
"Equipment Advance",0,0,0,1,0,0
"the Accounting Principles Board",0,0,1,0,0,0
"Shanghai Solutions",1,0,0,0,0,0
"The Wall Street Journal",1,0,0,0,0,0
"Bondholders",0,0,0,1,0,0
