Entity,COR,INC,PAR,SPU,MIS,IGN
"Taiwan",0,0,0,0,1,0
"Harbor Road",1,0,0,0,0,0
"Account Debtor",0,0,0,1,0,0
"coal terminal site",0,0,0,0,1,0
"Monarch Park Place Niwot",0,0,1,0,0,0
"Silicon Valley Bank",0,1,0,0,0,0
"Washington Street Newton",0,0,1,0,0,0
"Lender",0,1,0,0,0,0
"People s Republic of China",0,0,1,0,0,0
"Israel",1,0,0,0,0,0
"New York 10017",0,0,0,0,1,0
"SILICON VALLEY EAST",0,0,0,0,1,0
"France",1,0,0,0,0,0
"Subscription Agreement.",0,0,0,1,0,0
"SILICON VALLEY BANK",0,1,0,0,0,0
"Massachusetts 02108",0,0,0,0,1,0
"Loan Amount",0,0,0,1,0,0
"Massachusetts 01752",0,0,0,0,1,0
"Worksoft",0,1,0,0,0,0
"Bartlett Street",0,0,1,0,0,0
"United States.",0,0,1,0,0,0
"British West Indies",1,0,0,0,0,0
"Shi Rongbin",0,1,0,0,0,0
"Grand Cayman",0,0,0,0,1,0
"Esquire",0,0,0,0,1,0
"AUTHORITY OF VIRGINIA",0,0,1,0,0,0
"Cambridge",1,0,0,0,0,0
"Delaware",0,1,0,0,0,0
"MASSACHUSETTS",0,0,1,0,0,0
"Newport News",0,0,1,0,0,0
"27th Floor",0,0,0,0,1,0
"Ltd.",0,0,0,1,0,0
"36",0,0,0,0,1,0
"Bing",0,0,1,0,0,0
"REOC",0,0,0,1,0,0
"Beijing 100086",0,0,0,0,1,0
"Collateral",0,0,0,1,0,0
"British Virgin Islands",1,0,0,0,0,0
"south",0,0,0,0,1,0
"Haidian District",0,0,0,0,1,0
"Loan Supplement",0,0,0,1,0,0
"Cricket Square",0,0,0,0,1,0
"Effective Date",0,0,0,1,0,0
"southeast",0,0,0,0,1,0
"Pier IX coal terminal",0,0,0,0,1,0
"Euros",0,0,0,1,0,0
"U. S.",0,0,0,1,0,0
"Zhongguancun Software Park",1,0,0,0,0,0
"Plaza Boston",0,0,1,0,0,0
"VRINGO",0,1,0,0,0,0
"530 B Street",0,0,0,0,1,0
"New York",1,0,0,0,0,0
"Commonwealth of Virginia",0,0,0,0,1,0
"Loan. THEREFORE",0,0,0,1,0,0
"Paris",0,0,0,0,1,0
"Cologne",0,0,0,1,0,0
"Shanghai",1,0,0,0,0,0
"east",0,0,0,0,1,0
"Borrower",0,1,0,0,0,0
"Bizexperss",0,1,0,0,0,0
"Santa Clara",1,0,0,0,0,0
"Hong Kong Special Administrative Region",0,0,0,0,1,0
"Cayman Islands",1,0,0,0,0,0
"Loan",0,0,0,1,0,0
"Tortola",1,0,0,0,0,0
"central control room atop transfer tower TT2",0,0,0,0,1,0
"VIRGINIA",1,0,0,0,0,0
"northwest",0,0,0,0,1,0
"535 Fifth Avenue",0,0,0,0,1,0
"138",0,0,0,0,1,0
"2nd floor",0,0,0,0,1,0
"China",1,0,0,0,0,0
"Hutchins Drive",0,0,0,0,1,0
"Colorado",0,0,1,0,0,0
"STATE OF CALIFORNIA",0,0,1,0,0,0
"Commonwealth of Massachusetts",1,0,0,0,0,0
"Center",0,0,0,0,1,0
"NEW YORK",0,0,0,1,0,0
"Beneficiary Bank",0,0,0,1,0,0
"44",0,0,0,0,1,0
"Tianlin East Road",1,0,0,0,0,0
"EVERGREEN SOLAR",0,1,0,0,0,0
"Republic of China",1,0,0,0,0,0
"Immeuble Les Caryatides",0,0,0,0,1,0
"CEO",0,0,0,0,1,0
"Carnot",0,0,1,0,0,0
"Servicer",0,0,0,1,0,0
"Usine de Saint Auban",1,0,0,0,0,0
"3F",0,0,0,0,1,0
"Columbia",1,0,0,0,0,0
"Macao Special Administrative Region",0,0,0,0,1,0
"6 Zhongguancun South Street",0,0,0,0,1,0
"Century Yard",0,0,0,0,1,0
"535",0,0,0,0,1,0
"George Town",0,0,0,0,1,0
"Beijing",1,0,0,0,0,0
"Hong Kong",1,0,0,0,0,0
"California",1,0,0,0,0,0
"goldhillcapital",0,0,0,0,1,0
"Jinjia Village",1,0,0,0,0,0
"Manufacturer Loan",0,0,0,1,0,0
"United States Bankruptcy Code",0,0,1,0,0,0
"Eastern",0,0,0,0,1,0
"Fengtai District",0,0,0,0,1,0
"Wellesley",1,0,0,0,0,0
"Bonds.",0,0,0,1,0,0
"VP",0,0,1,0,0,0
"Santa Clara County",1,0,0,0,0,0
"Silicon Valley East",1,0,0,0,0,0
"CALIFORNIA",1,0,0,0,0,0
"SANTA CLARA",0,0,0,0,1,0
"Zhongguancun South Street",0,0,0,0,1,0
"Loan.",0,0,0,1,0,0
"ERISA",0,1,0,0,0,0
"San Diego",0,0,1,0,0,0
"Arbitral",0,0,0,1,0,0
"Good Standing",0,0,1,0,0,0
"Virginia",1,0,0,0,0,0
"Avenue",0,0,0,0,1,0
"Stipulated Loan Values",0,0,0,1,0,0
"United States",1,0,0,0,0,0
"Three",0,0,0,0,1,0
"Massachusetts 02462",0,0,0,0,1,0
"Massachusetts",1,0,0,0,0,0
"Master Ventures",0,0,0,1,0,0
"Guidu Road",1,0,0,0,0,0
*TOTAL*,31,11,17,22,90,0
