Entity,COR,INC,PAR,SPU,MIS,IGN
"SILICIUM DE PROVENCE SAS",1,0,0,0,0,0
"Domestic Accounts Receivable",0,0,0,1,0,0
"Borrower Transfer",0,0,0,1,0,0
"Gold Hill Venture Lending",0,0,1,0,0,0
"SUBORDINATION",0,0,0,1,0,0
"Share Pledge Agreement",0,0,0,1,0,0
"Eligible Equipment. Each Equipment Advance",0,0,0,1,0,0
"Master Venture Agreement",0,0,0,1,0,0
"The Dominion Terminal Associates",0,0,0,0,1,0
"Agent",0,0,1,0,0,0
"No Party",0,0,0,1,0,0
"Authorization",0,0,0,1,0,0
"Subsidiaries or Affiliates",0,0,0,1,0,0
"Bizexpress Limited",1,0,0,0,0,0
"Loan and Security Agreement Schedule",0,0,0,1,0,0
"Akamai Technologies , Inc.",0,0,1,0,0,0
"Credit Extension",0,0,0,1,0,0
"DTA",0,0,0,1,0,0
"Company.",0,0,0,1,0,0
"REOC",0,0,0,1,0,0
"Commitments Lender Commitment Commitment Percentage Silicon Valley Bank",0,0,1,0,0,0
"Borrower The Borrower",0,0,0,1,0,0
"Parent Company Guaranty.",0,0,0,1,0,0
"Encumbrance. Create",0,0,0,1,0,0
"Dominion Terminal Associates",1,0,0,0,0,0
"Paying Agent",1,0,0,0,0,0
"Virginia general partnership",0,0,0,0,1,0
"BIG Center",0,0,0,0,1,0
"SVB",0,0,0,1,0,0
"ING Belgium S.",0,0,0,1,0,0
"Borrower and Lender",0,0,0,1,0,0
"Capital Contributions",0,0,0,1,0,0
"AKAMAI",0,0,1,0,0,0
"Investments of Borrower",0,0,0,1,0,0
"Borrower",0,1,0,0,0,0
"Term Loan and Security Agreement",0,0,0,1,0,0
"Loan Documents.",0,0,0,1,0,0
"Other Equipment",0,0,0,1,0,0
"Confidential Information",0,0,0,1,0,0
"Loan Agreement.",0,0,0,1,0,0
"Payment Date. All",0,0,0,1,0,0
"USD",0,0,0,1,0,0
"United State of America.",0,0,0,1,0,0
"Person.",0,0,0,1,0,0
"Macao Special Administrative Region",0,1,0,0,0,0
"Collateral. Bank",0,0,1,0,0,0
"Stock Options",0,0,0,1,0,0
"Limited Nature of Company",0,0,1,0,0,0
"Other Equipment. All Equipment",0,0,0,1,0,0
"Financial Accounting Standards Board",1,0,0,0,0,0
"Robert E. Yancey Chairman DOMINION TERMINAL ASSOCIATES",0,0,1,0,0,0
"Securities Exchange",0,0,0,1,0,0
"SURVIVAL. All",0,0,0,1,0,0
"Credit Extension. Each Credit Extension is Borrower",0,0,0,1,0,0
"Applicable Law",0,0,0,1,0,0
"HERBERT SMITH LLP Page",0,0,0,1,0,0
"Borrower Airland International Limited",0,0,1,0,0,0
"DOMINION TERMINAL ASSOCIATES",1,0,0,0,0,0
"EVERGREEN SOLAR",1,0,0,0,0,0
"Power of Attorney",0,0,0,1,0,0
"DOCSTART Subordinated Loan Agreement Silicium de Provence SAS",0,0,1,0,0,0
"Milestone Event No.",0,0,0,1,0,0
"Notices of Transfer Etc. The Servicer",0,0,0,1,0,0
"Bank Expenses. All Bank Expenses",0,0,1,0,0,0
"If Bank",0,0,1,0,0,0
"Loan Agreement. C. Bank",0,0,1,0,0,0
"Person",0,0,0,1,0,0
"Vringo , Inc. From Account To Account Deposit Account Loan Account Principal",0,0,1,0,0,0
"Amortization Date",0,0,0,1,0,0
"None of Borrower",0,0,0,1,0,0
"Loan Agreement",0,0,0,1,0,0
"Funding Date of the Equipment Advance Loan",0,0,0,1,0,0
"Liens",0,0,0,1,0,0
"CONFIDENTIALITY",0,0,0,1,0,0
"Securities Account",0,0,0,1,0,0
"Complete Outgoing Wire Request",0,0,0,1,0,0
"The Parties",0,0,0,1,0,0
"Jinjia Village",0,1,0,0,0,0
"Borrower Company.",0,0,0,1,0,0
"Property",0,0,0,1,0,0
"Indebtedness. Create",0,0,0,1,0,0
"Person of the Loan Documents",0,0,0,1,0,0
"Power",0,0,0,1,0,0
"Renminbi Twenty Four Million",0,0,0,1,0,0
"Funding Date",0,0,0,1,0,0
"RECITALS A. The Borrower and Bank",0,0,1,0,0,0
"Agreement no Party",0,0,0,1,0,0
"Delaware corporation",0,0,0,0,1,0
"Pittston Terminal",1,0,0,0,0,0
"Code permits. Bank",0,0,1,0,0,0
"bank",0,0,0,0,1,0
"Succession",0,0,0,1,0,0
"Beneficiary Bank Transit ABA",0,0,1,0,0,0
"Ashford Hospitality Finance General Partner LLC",1,0,0,0,0,0
"Internal Revenue Code",0,0,0,1,0,0
"The Company",0,0,0,1,0,0
"Repayment Date.",0,0,0,1,0,0
"Delaware",0,0,0,0,1,0
"Subsidiaries or Borrower and Investments by Borrower in Subsidiaries",0,0,0,1,0,0
"Used Equipment",0,0,0,1,0,0
"Advance Form",0,0,0,1,0,0
"First Draw Period",0,0,0,1,0,0
"Committed Equipment Line",0,0,0,1,0,0
"Shanghai Solutions Software Co",1,0,0,0,0,0
"svb",0,0,0,0,1,0
"Maintenance of Collateral Accounts.",0,0,0,1,0,0
"Indenture. The Company",0,0,0,1,0,0
"Commitment Percentage",0,0,0,1,0,0
"Loan Agreement. Each Party",0,0,0,1,0,0
"Loan Document",0,0,0,1,0,0
"Final Payment Percentage.",0,0,0,1,0,0
"Subscription Agreement.",0,0,0,1,0,0
"Assigns. This Amendment",0,0,0,1,0,0
"American Institute of Certified Public Accountants",1,0,0,0,0,0
"IL Subsidiary",0,0,0,1,0,0
"Payment Dates",0,0,0,1,0,0
"Borrower.",0,0,0,1,0,0
"Parent Company",0,0,0,1,0,0
"Bankruptcy Code",0,0,1,0,0,0
"Prudential Investment Management , Inc",0,0,1,0,0,0
"Equipment",0,0,0,1,0,0
"Bizexperss",0,0,0,0,1,0
"Accepted Loan Servicing Practice",0,0,0,1,0,0
"SVP",0,0,0,1,0,0
"Lender.",0,0,0,1,0,0
"Accepted Loan Servicing Practices",0,0,0,1,0,0
"Abbott Building Road Town",0,1,0,0,0,0
"Repayment of Loan and Payment of Purchase Price of Bonds.",0,0,0,1,0,0
"Equipment Advance",0,0,0,1,0,0
"Bet Shemesh",0,0,0,1,0,0
"Shanghai Solutions",1,0,0,0,0,0
"Accounting Principles Board",1,0,0,0,0,0
