Entity,COR,INC,PAR,SPU,MIS,IGN
"Charles E. Brinley",0,0,1,0,0,0
"C. F. R.",0,0,0,1,0,0
"Utilities",0,0,0,1,0,0
"Lender",1,0,0,0,0,0
"U. A.",0,0,0,1,0,0
"Richard G. Page",0,0,1,0,0,0
"L. P.",0,0,0,1,0,0
"Marine",0,0,0,1,0,0
"DAMAGE. Borrower",0,0,1,0,0,0
"S. A.",0,0,0,1,0,0
"Worksoft",0,1,0,0,0,0
"Company",0,0,0,1,0,0
"Silicium de Provence S. A. S.",0,0,0,1,0,0
"Moody",0,0,0,1,0,0
"U. S. C. Sec.",0,0,0,1,0,0
"Bonds",0,0,0,1,0,0
"Hill",0,0,0,1,0,0
"Shi Rongbin",1,0,0,0,0,0
"lender",0,0,0,0,1,0
"Bank",0,1,0,0,0,0
"AUTHORIZATION. Borrower",0,0,1,0,0,0
"U. S. A.",0,0,0,1,0,0
"corre",0,0,0,0,1,0
"Michael Moretti",0,0,0,0,1,0
"All Borrower",0,0,1,0,0,0
"Ashford",0,1,0,0,0,0
"ASSURANCES. Borrower",0,0,1,0,0,0
"N.",0,0,0,1,0,0
"Bond",0,0,0,1,0,0
"P. R. China",0,0,0,1,0,0
"E. S. T. Beneficiary",0,0,0,1,0,0
"Agent",0,0,0,1,0,0
"David Fischer",1,0,0,0,0,0
"HILL",0,0,0,1,0,0
"Paul Sagan",1,0,0,0,0,0
"David A. Ephraim",0,0,1,0,0,0
"Borrower",1,0,0,0,0,0
"Auban",0,0,0,1,0,0
"B. Subject",0,0,0,1,0,0
"Peter",0,0,1,0,0,0
"Loan",0,0,0,1,0,0
"Guichet",0,0,0,1,0,0
"Esquire",0,1,0,0,0,0
"James P. Walker",0,0,1,0,0,0
"Date",0,0,0,1,0,0
"Douglas S. Lambell",0,0,1,0,0,0
"Marlboro",0,1,0,0,0,0
"DEphraim",1,0,0,0,0,0
"MMoretti",0,0,0,0,1,0
"Issuer",0,0,0,1,0,0
"George Town",0,1,0,0,0,0
"L. P. Two Newton Executive Park",0,0,0,1,0,0
"Chen",0,0,1,0,0,0
"Richard Chleboski",1,0,0,0,0,0
"BORROWER",0,0,0,0,1,0
"Michael Morreti",1,0,0,0,0,0
"A. The Company",0,0,0,1,0,0
"R.",0,0,0,1,0,0
"Servicer",0,0,0,1,0,0
"P. R.",0,0,0,1,0,0
"Lien",0,0,0,1,0,0
"Person",0,0,0,1,0,0
"Hutchins Drive",0,1,0,0,0,0
"Lane",0,0,0,1,0,0
"David Corre",1,0,0,0,0,0
"Amortization Date",0,0,0,1,0,0
"Bondholder",0,0,0,1,0,0
"Sidney X . Huang",0,0,0,0,1,0
"Jonathan Medved",1,0,0,0,0,0
"david",0,0,0,0,1,0
"Succursale",0,0,0,1,0,0
"HERBERT SMITH",1,0,0,0,0,0
"Bing Yu",1,0,0,0,0,0
"Frank Wouters",1,0,0,0,0,0
"Zhang Jilun",1,0,0,0,0,0
"David Brooks",1,0,0,0,0,0
"LENDER",0,0,0,0,1,0
"DEFAULT. Borrower",0,0,1,0,0,0
"DFischer",1,0,0,0,0,0
"Sidney X. Huang",0,0,0,1,0,0
"Riemer Braunstein",0,0,0,1,0,0
"P. R. China. Whereas",0,0,0,1,0,0
"The Issuer",0,0,0,1,0,0
"GAAP. Borrower",0,0,1,0,0,0
"Douglas S. Lambell Douglas S. Lambell",0,0,1,0,0,0
"P. O. Box",0,0,0,1,0,0
"N. A.",0,0,0,1,0,0
"B. Borrower",0,0,1,0,0,0
"L. P",0,0,0,1,0,0
"Richard G. Chleboski",0,0,1,0,0,0
"Supplemental Lease",0,0,0,1,0,0
"Master Ventures",0,0,0,1,0,0
"Maturity Date",0,0,0,1,0,0
"Railroad",0,0,0,1,0,0
"Nancy E.",0,0,1,0,0,0
"Keith Love",1,0,0,0,0,0
"S. A. S",0,0,0,1,0,0
"Auxiliary",0,0,0,1,0,0
*TOTAL*,17,7,17,49,16,0
