Entity,COR,INC,PAR,SPU,MIS,IGN
"Collateral Account that Borrower",0,0,0,0,0,1
""" Original Stated Cost """,0,0,0,0,0,1
"the Loan Documents",0,0,0,0,0,1
"the "" Borrower """,0,0,0,0,0,1
"Twenty Five Million Dollars 25",0,0,0,0,0,1
"a "" Payment Date """,0,0,0,0,0,1
"Borrower the "" Perfection Certificate """,0,0,0,0,0,1
"the Project and the Bonds",0,0,0,0,0,1
"Exhibit B. "" Perfection Certificate """,0,0,0,0,0,1
"Milestone Event No. 2",0,0,0,0,0,1
"First Repayment Date """,0,0,0,0,0,1
"non exclusive licenses for the use of the property of Borrower or its Subsidiaries in the ordinary course of business",0,0,0,0,0,1
"the Scheduled Payments , on the Funding Date for each Equipment Advance unless the Funding Date",0,0,0,0,0,1
"a "" Account """,0,0,0,0,0,1
"the Perfection Certificate",0,0,0,0,0,1
"any Confidential Information of the disclosing Party 15",0,0,0,0,0,1
"3 Time of Essence",0,0,0,0,0,1
"The Parties",0,0,0,0,0,1
""" Funding Date """,0,0,0,0,0,1
"conveying the Loan to the Holders",0,0,0,0,0,1
"the applicable Amortization Date for each Term Loan",0,0,0,0,0,1
"the final Payment Date for each Term Loan",0,0,0,0,0,1
"Fifteen Million Dollars 15",0,0,0,0,0,1
""" Second Repayment Date """,0,0,0,0,0,1
"First Draw Period """,0,0,0,0,0,1
""" Payment Date """,0,0,0,0,0,1
"the Loan Supplement",0,0,0,0,0,1
""" Amortization Date """,0,0,0,0,0,1
"FUNDING DATE """,0,0,0,0,0,1
"COMMITMENT TERMINATION DATE """,0,0,0,0,0,1
""" Confidential Information """,0,0,0,0,0,1
"Principal Prepayment of the Loan",0,0,0,0,0,1
"Arbitral award",0,0,0,0,0,1
"Commodity Account """,0,0,0,0,0,1
""" Final Payment """,0,0,0,0,0,1
"Agent "" Flash Reports """,0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,36
