Entity,COR,INC,PAR,SPU,MIS,IGN
"Plano Balloon Festival",0,0,0,0,0,1
"SMITE World Championship",0,0,0,0,0,1
"Independence Day",0,1,0,0,0,0
"Erenice War",0,1,0,0,0,0
"Crufts last year",0,0,0,0,0,1
"Sports Day",0,0,0,0,0,1
"Plano Balloon Festival 2",0,0,0,0,0,1
"New York Fashion Week",0,0,0,0,0,1
"World War 3 Iamjustinbieb",0,0,0,0,0,1
"the Fearless Tour",0,0,0,0,0,1
"the Super Bowl",0,0,0,0,0,1
"930pm",0,0,0,0,0,1
"New Year",0,0,0,0,0,1
"HoveLive Festival",0,0,0,0,0,1
"the Awakening Festival",0,0,0,0,0,1
"Yom Kippur",0,0,0,0,0,1
"wVMkaxk1il 20th Anniversary Vancouver Resource Investment Conference 2015",0,0,0,0,0,1
*TOTAL*,0,2,0,0,0,15
