Entity,COR,INC,PAR,SPU,MIS,IGN
"OFF the GRID Fort Mason",0,0,0,0,0,1
"New Orleans Square",0,1,0,0,0,0
"Yellow Lot 17",0,0,0,0,0,1
"717 6th St Nw Dc",0,0,0,0,0,1
"St. Mary",0,0,0,0,0,1
"Chapel Hill",0,1,0,0,0,0
"Ogden Theatre Jan 17",0,0,0,0,0,1
"Redondo Beach Blvd",0,1,0,0,0,0
"Ramen Kan Bondi Junction",0,1,0,0,0,0
"the Southgate House",0,0,0,0,0,1
"Electric Lady Studios",0,1,0,0,0,0
"Minneapolis First Avenue",0,0,0,0,0,1
"UP Diliman",0,1,0,0,0,0
"Leacock Museum",0,1,0,0,0,0
"the Vanc . Convention Centre",0,0,0,0,0,1
*TOTAL*,0,7,0,0,0,8
