Entity,COR,INC,PAR,SPU,MIS,IGN
"The Avengers",0,0,0,0,1,0
"skittles",0,0,0,0,1,0
"Virgo",0,0,0,0,1,0
"parasut Inter black-blue",0,0,0,0,1,0
"office",0,0,0,0,1,0
"MAYWARDForCocaColaPH",0,0,0,0,1,0
"Xantec",0,0,0,0,1,0
"HTC Desire Z",0,0,0,0,1,0
"Oauth",0,0,0,0,1,0
"Youtube",0,0,0,0,1,0
"Bio Spot",0,0,0,0,1,0
"Lamborghini",0,0,0,0,1,0
"Photoshop",0,0,0,0,1,0
"Google",0,0,0,0,1,0
"pro am",0,0,0,0,1,0
"Subaru",0,0,0,0,1,0
"GTA",0,0,0,0,1,0
"Matfer Bourgeat",0,0,0,0,1,0
"Madden",0,0,0,0,1,0
"Morton 's Salt",0,0,0,0,1,0
"Aqua loop",0,0,0,0,1,0
"ipod",0,0,0,0,1,0
"TRAMP",0,0,0,0,1,0
"capri sun",0,0,0,0,1,0
"hanamura",0,0,0,0,1,0
"Eclipse Spyder",0,0,0,0,1,0
"wifi chip",0,0,0,0,1,0
"raspberry sorbet gum",0,0,0,0,1,0
"acer",0,0,0,0,1,0
"BranchOut",0,0,0,0,1,0
"Nike Dunk High",0,0,0,0,1,0
"Ubuntu",0,0,0,0,1,0
"Windows Event log",0,0,0,0,1,0
"black airpods",0,0,0,0,1,0
"Conflicts of Law : Cases and Materials",0,0,0,0,1,0
"Capri-sun",0,0,0,0,1,0
"android",0,0,0,0,1,0
"Bots _ alive kit",0,0,0,0,1,0
"BOSSTIPS",0,0,0,0,1,0
"pine nuts",0,0,0,0,1,0
"green tea",0,0,0,0,1,0
"BlackBerry",0,0,0,0,1,0
"GoPro",0,0,0,0,1,0
"macdonalds",0,0,0,0,1,0
"ryll",0,0,0,0,1,0
"VPN server",0,0,0,0,1,0
"TRAMPOLINE",0,0,0,0,1,0
"epipen",0,0,0,0,1,0
"Face Book",0,0,0,0,1,0
"oni genji",0,0,0,0,1,0
"Nostalgia",0,0,0,0,1,0
"Chrysler",0,0,0,0,1,0
"ougie",0,0,0,0,1,0
"Roen belt",0,0,0,0,1,0
"Sour Patch kids",0,0,0,0,1,0
"league",0,0,0,0,1,0
"Merlot",0,0,0,0,1,0
"PEM format",0,0,0,0,1,0
"Notebook",0,0,0,0,1,0
