Entity,COR,INC,PAR,SPU,MIS,IGN
"1 10",0,0,0,0,0,1
"8 , 000",0,0,0,0,0,1
"3 1",0,0,0,0,0,1
"9335",0,0,0,0,0,1
"12",0,0,0,0,0,1
"5v5",0,0,0,0,0,1
"50 6",0,0,0,0,0,1
"20 NY",0,0,0,0,0,1
"Only about 1 / 3",0,0,0,0,0,1
"1 / 4",0,0,0,0,0,1
"227",0,0,0,0,0,1
"thousands",0,0,0,0,0,1
"35G",0,0,0,0,0,1
"923",0,0,0,0,0,1
"Ten",0,0,0,0,0,1
"2 0 Panthers Redi",0,0,0,0,0,1
"3 million",0,0,0,0,0,1
"7",0,0,0,0,0,1
"2 1",0,0,0,0,0,1
"3333",0,0,0,0,0,1
"4gifs",0,0,0,0,0,1
"23",0,0,0,0,0,1
"90",0,0,0,0,0,1
"16",0,0,0,0,0,1
"80 +",0,0,0,0,0,1
"26",0,0,0,0,0,1
"1 / 711",0,0,0,0,0,1
"4 5",0,0,0,0,0,1
"five",0,0,0,0,0,1
"half",0,0,0,0,0,1
"Thousands",0,0,0,0,0,1
"89",0,0,0,0,0,1
"4 99 1",0,0,0,0,0,1
"38",0,0,0,0,0,1
"14 Lyla MANTAN KEKASIH",0,0,0,0,0,1
"2 Three",0,0,0,0,0,1
"25",0,0,0,0,0,1
"7 5 / 10",0,0,0,0,0,1
"15",0,0,0,0,0,1
"200",0,0,0,0,0,1
"599",0,0,0,0,0,1
"one Tuesday",0,0,0,0,0,1
"500",0,0,0,0,0,1
"800",0,0,0,0,0,1
"8888",0,0,0,0,0,1
"number 1 / 12 , 300",0,0,0,0,0,1
"30",0,0,0,0,0,1
"37",0,0,0,0,0,1
"678",0,0,0,0,0,1
"410",0,0,0,0,0,1
"two",0,0,0,0,0,1
"25 GoBucks Beat Bama EL VIERNE CAPAS",0,0,0,0,0,1
"zero",0,0,0,0,0,1
"15 million",0,0,0,0,0,1
"4 530",0,0,0,0,0,1
"1 1 2015",0,0,0,0,0,1
"1 , 200",0,0,0,0,0,1
"714",0,0,0,0,0,1
"1M",0,0,0,0,0,1
"21 2",0,0,0,0,0,1
"32",0,0,0,0,0,1
"13 30stm",0,0,0,0,0,1
"4 1",0,0,0,0,0,1
"588mins",0,0,0,0,0,1
"25 Million",0,0,0,0,0,1
"10 , 000",0,0,0,0,0,1
"116",0,0,0,0,0,1
"104",0,0,0,0,0,1
"2 billion",0,0,0,0,0,1
"2237v",0,0,0,0,0,1
"6",0,0,0,0,0,1
"140",0,0,0,0,0,1
"More than 500",0,0,0,0,0,1
"1497 3497",0,0,0,0,0,1
"14 Academy Award",0,0,0,0,0,1
"20 billion",0,0,0,0,0,1
"1 Kentucky",0,0,0,0,0,1
"9 99",0,0,0,0,0,1
"18 98",0,0,0,0,0,1
