Entity,COR,INC,PAR,SPU,MIS,IGN
"the late December",0,0,0,0,0,1
"day 2day",0,0,0,0,0,1
"Yesterday",0,0,0,0,0,1
"3 rd 1",0,0,0,0,0,1
"the coming days",0,0,0,0,0,1
"Today",0,0,0,0,0,1
"2011 Fashion Week",0,0,0,0,0,1
"End Date : Sunday Jan 25",0,0,0,0,0,1
"January 20.",0,0,0,0,0,1
"the 6 months",0,0,0,0,0,1
"Holiday",0,1,0,0,0,0
"September",0,0,0,0,0,1
"Month",0,0,0,0,0,1
"August Boi Ching Lang",0,0,0,0,0,1
"Wednesday",0,0,0,0,0,1
"16",0,0,0,0,0,1
"THOSE days",0,0,0,0,0,1
"this Wednesday",0,0,0,0,0,1
"Saturday SNL 2/2 Proud",0,0,0,0,0,1
"Tuesday Tuesday",0,0,0,0,0,1
"tomorrow the 23rd of january 2014",0,0,0,0,0,1
"Tuesday lufc1995",0,0,0,0,0,1
"Friday night",0,0,0,0,0,1
"1997th",0,0,0,0,0,1
"it/c/1H1HZq Sun , 17 Oct 2010",0,0,0,0,0,1
"2002 World Cup",0,0,0,0,0,1
"london fashion week",0,0,0,0,0,1
"April 30 th H. Never 4",0,0,0,0,0,1
"15",0,0,0,0,0,1
"Saturday night 7 pm",0,0,0,0,0,1
"the late Friday",0,0,0,0,0,1
"a week",0,0,0,0,0,1
"weeks",0,0,0,0,0,1
"Thursday",0,0,0,0,0,1
"the last month",0,0,0,0,0,1
"3 days",0,0,0,0,0,1
"21 years ago Its 3 o'clock",0,0,0,0,0,1
"Sunday afternoon naps",0,0,0,0,0,1
"the 21st century",0,0,0,0,0,1
"January 2017.",0,0,0,0,0,1
"Nov.",0,0,0,0,0,1
"March 1991",0,0,0,0,0,1
"January 09 , 2015",0,0,0,0,0,1
"the Weekend September 18lo",0,0,0,0,0,1
"Birthday",0,0,0,0,0,1
"July 2013",0,0,0,0,0,1
"4 day",0,0,0,0,0,1
"January 15 , Height 160cm",0,0,0,0,0,1
"tuesday",0,0,0,0,0,1
"summer tomorrow",0,0,0,0,0,1
"a long weekend",0,0,0,0,0,1
"2 1/2 years",0,0,0,0,0,1
"Next week",0,0,0,0,0,1
"1497 3497",0,0,0,0,0,1
"15 days",0,0,0,0,0,1
"six years",0,0,0,0,0,1
"tomorrow",0,0,0,0,0,1
"80s weekend",0,0,0,0,0,1
"April this year",0,0,0,0,0,1
"This week",0,0,0,0,0,1
"1020",0,0,0,0,0,1
"60 years later",0,0,0,0,0,1
"2008 R2",0,0,0,0,0,1
"2 years 99 days 3 hours 36 minutes",0,0,0,0,0,1
"a month or so",0,0,0,0,0,1
"quarterly",0,0,0,0,0,1
"a great weekend",0,0,0,0,0,1
"earlier day",0,0,0,0,0,1
"October 24th 2017",0,0,0,0,0,1
"Feb 1 2015 11:11 PM MyCMKejriwal",0,0,0,0,0,1
"months",0,0,0,0,0,1
"thursday",0,0,0,0,0,1
"the end of the year",0,0,0,0,0,1
"Oct. 12th",0,0,0,0,0,1
"58 years ago today",0,0,0,0,0,1
"June 2 , 1914",0,0,0,0,0,1
"November Yesss",0,0,0,0,0,1
"22 Jan",0,0,0,0,0,1
"THiS day",0,0,0,0,0,1
"5 years",0,0,0,0,0,1
"a nice day",0,0,0,0,0,1
"4 days",0,0,0,0,0,1
"just six weeks",0,0,0,0,0,1
"14 loss 98",0,0,0,0,0,1
"Tuesday HxzeEX",0,0,0,0,0,1
"the High Holy Days",0,0,0,0,0,1
"2008 last year",0,0,0,0,0,1
"the last two days",0,0,0,0,0,1
"03",0,0,0,0,0,1
"April 30 , 2015",0,0,0,0,0,1
"Great week",0,0,0,0,0,1
"A day late",0,0,0,0,0,1
"ANO TO MAY TRABAHO KA NA BA",0,0,0,0,0,1
"2nd half Sunday",0,0,0,0,0,1
"Sept 17",0,0,0,0,0,1
"December 25 , 2014",0,0,0,0,0,1
"80",0,0,0,0,0,1
"19 year old Syrian",0,0,0,0,0,1
"1956",0,0,0,0,0,1
"90133 Work 330 1130",0,0,0,0,0,1
"the week end",0,0,0,0,0,1
"September 3rd",0,0,0,0,0,1
"half 8 on sunday",0,0,0,0,0,1
"Monday night",0,0,0,0,0,1
"Jan. co/C1JO2LGEbR Tomorrow 1/31",0,0,0,0,0,1
"1st week",0,0,0,0,0,1
"the big day",0,0,0,0,0,1
"8PM",0,0,0,0,0,1
"12th Jan",0,0,0,0,0,1
"Wednesday Sep 23,201",0,0,0,0,0,1
"May 2010",0,0,0,0,0,1
"these last 2 weeks",0,0,0,0,0,1
"10 . 09 One year",0,0,0,0,0,1
"The lively weekend",0,0,0,0,0,1
"January 29 , 2015",0,0,0,0,0,1
"A week",0,0,0,0,0,1
"the Ridge 5 K 2012",0,0,0,0,0,1
"June Fest 2010",0,0,0,0,0,1
"Sep 29 , 2010",0,0,0,0,0,1
"7 20 year olds",0,0,0,0,0,1
"February ONE DIRECTION SPECIAL NEXT TUESDAY TR MANSKAH",0,0,0,0,0,1
"year 's",0,0,0,0,0,1
"a couple of days ago",0,0,0,0,0,1
"about 10 days",0,0,0,0,0,1
"1st year",0,0,0,0,0,1
"Thursday Round Up",0,0,0,0,0,1
"Sept ' 09",0,0,0,0,0,1
"2pm",0,0,0,0,0,1
"1874Northwich",0,0,0,0,0,1
"26th December Boxing Day",0,0,0,0,0,1
"tomorrow Sun Page 3",0,0,0,0,0,1
"Oct 1",0,0,0,0,0,1
"End Date : Sunday Dec 28 2014 13:47",0,0,0,0,0,1
"Thursday evening",0,0,0,0,0,1
"10",0,0,0,0,0,1
"458 days",0,0,0,0,0,1
"more than 100 years",0,0,0,0,0,1
"This week 's",0,0,0,0,0,1
"November TY",0,0,0,0,0,1
"a few days",0,0,0,0,0,1
"FRIDAY JANUARY 1",0,0,0,0,0,1
"October 7th Business Alliance",0,0,0,0,0,1
"23 days",0,0,0,0,0,1
"4 years",0,0,0,0,0,1
"100s",0,0,0,0,0,1
"Harrison Kentucky 11 pts BBN AppleMagazine December 12 , 2014",0,0,0,0,0,1
"december",0,0,0,0,0,1
"the year",0,0,0,0,0,1
"Day 26 '",0,0,0,0,0,1
"weekend saturday",0,0,0,0,0,1
"2 to my day",0,0,0,0,0,1
"Finally Friday Thiss week",0,0,0,0,0,1
"Green Day",0,1,0,0,0,0
"three months",0,0,0,0,0,1
"2 weeks",0,0,0,0,0,1
"Tuesday FUCKKKK DAAAAAAAAAAAAAAT Obama",0,0,0,0,0,1
"a better day tomorrow Louis Love",0,0,0,0,0,1
"co/uM4RLmKwfy December Kennesaw Mountain National Battlefield Park",0,0,0,0,0,1
"another week",0,0,0,0,0,1
"Saturday Yung",0,0,0,0,0,1
"the coming year",0,0,0,0,0,1
