Entity,COR,INC,PAR,SPU,MIS,IGN
"The Forex Revolution",0,0,0,0,0,1
"New Year 's",0,0,0,0,0,1
"Judas Priest Press Conference",0,0,0,0,0,1
"the SBLeurope Next year",0,0,0,0,0,1
"Star Wars",0,1,0,0,0,0
"Help Celebrate 25th",0,0,0,0,0,1
"Yom Kippur",0,0,0,0,0,1
"Africa December Regional Debate",0,0,0,0,0,1
"the Super Bowl",0,0,0,0,0,1
"SHA 1",0,0,0,0,0,1
"VMA",0,1,0,0,0,0
"Season 3 Episode 10 Noah",0,0,0,0,0,1
"The Birthday Celebration",0,0,0,0,0,1
"Halloween bash It 's",0,0,0,0,0,1
"the Great Pumpkin",0,0,0,0,0,1
"1st Team Offense njcaa All American",0,0,0,0,0,1
"Winter Sun StennerWoods Didsbury",0,0,0,0,0,1
"WestThorntonPA Teachers Open Evening",0,0,0,0,0,1
"Secret Wars",0,1,0,0,0,0
"Gardena / Compton All",0,0,0,0,0,1
"Chicago Weekend Events",0,0,0,0,0,1
"MRB 61 Roadhouse BBQ",0,0,0,0,0,1
"Happy Good Friday JamesTweeter Salesfigures Christmas",0,0,0,0,0,1
"Yom Kippur eve",0,0,0,0,0,1
"World War 3 Iamjustinbieb",0,0,0,0,0,1
"co/NrXvZ15Ovm Happy New Year",0,0,0,0,0,1
"4 Infinity Wars",0,0,0,0,0,1
"Olympic Champion",0,0,0,0,0,1
"Next Week September 22 , 2010",0,0,0,0,0,1
"cbc Sports Day",0,0,0,0,0,1
"HoveLive Festival tomorrow",0,0,0,0,0,1
"The Heatwave 7th",0,0,0,0,0,1
"Super Bowl Sunday",0,0,0,0,0,1
"Vs Simona Halep WTA Finals Singapore Open 2014 Round Robin 2nd Set",0,0,0,0,0,1
"MMK",0,1,0,0,0,0
"Special Olympics",0,0,0,0,0,1
"the Mix 18+ Ladies 5",0,0,0,0,0,1
"Annual Octoberfest Dinner tonight",0,0,0,0,0,1
"DeadstockUtopia OriginalSoleog Indoor Super",0,0,0,0,0,1
"Super Bowl",0,1,0,0,0,0
"Independence Day",0,1,0,0,0,0
"Software Freedom Day",0,0,0,0,0,1
"Winter",0,0,0,0,0,1
"the Fitzwilliam . Greek Festival",0,0,0,0,0,1
"September Freestyle",0,0,0,0,0,1
"the Awakening Festival tonight",0,0,0,0,0,1
"6th Biannual 24 Hour Prayer Focus `` Saturday",0,0,0,0,0,1
"Another Successful New York Fashion Week : New York Fa",0,0,0,0,0,1
"an Expo on Feb 25",0,0,0,0,0,1
"DouchebagMovie : Come to `` DOUCHEBAG LOS ANGELES OPENING WEEKEND EXTRAVAGANZA",0,0,0,0,0,1
"California Home Sales Decline Year Over Year",0,0,0,0,0,1
"Popular Regional Series",0,0,0,0,0,1
"Storm April 14th",0,0,0,0,0,1
"DAY TORA *OOOOOOOOO* shoeboxL Happy Birthday",0,0,0,0,0,1
"Greek Festival",0,0,0,0,0,1
"D September",0,0,0,0,0,1
"Happy New Year BarryMarkson1",0,0,0,0,0,1
"The Sun Sport Football",0,0,0,0,0,1
"Observances",0,0,0,0,0,1
"Homecoming Week",0,0,0,0,0,1
"Hold Annual Meeting of Stockholders",0,0,0,0,0,1
"Bids End Date",0,0,0,0,0,1
"The Sept Issue",0,0,0,0,0,1
"Parking Day Parking Day",0,0,0,0,0,1
"co/V6Fq8WhAap March",0,0,0,0,0,1
"6 Year Anniversary",0,0,0,0,0,1
"MAR",0,0,0,0,0,1
"New year FF Ashley_Akalei",0,0,0,0,0,1
"the Mumpreneur Awards tomorrow",0,0,0,0,0,1
"Alexandros Siap Ramaikan Festival Musik Jepang 4 April",0,0,0,0,0,1
"1st Generation 32gb",0,0,0,0,0,1
"Spirit Week",0,0,0,0,0,1
"EXA OIL . COM Deep Sea Intervention opens Singapore facility : September 17,201 0 Deep Sea Intervention",0,0,0,0,0,1
"CHANGE OF ROOM FATHER 'S DAY auditions Sept 25 CANWEST Center",0,0,0,0,0,1
"Korean War",0,0,0,0,0,1
"Qatar 2022 World Cup",0,0,0,0,0,1
"the Tournament of Champions Super",0,0,0,0,0,1
"Hong Kongers March",0,0,0,0,0,1
"Rainy Days",0,1,0,0,0,0
"August Alsina Study and Go Abroad Fairs",0,0,0,0,0,1
"SMITE World Championship",0,0,0,0,0,1
"Helluva Schedule Yesterday",0,0,0,0,0,1
"Widro September 17 , 2010 Email",0,0,0,0,0,1
"Hugo",0,1,0,0,0,0
"National POW/MIA Recognition Day",0,0,0,0,0,1
"Happy New Year",0,0,0,0,0,1
"Thanksgiving",0,0,0,0,0,1
*TOTAL*,0,8,0,0,0,79
