Entity,COR,INC,PAR,SPU,MIS,IGN
"Brett Favre",1,0,0,0,0,0
"Giles Deacon 's Monday",0,0,1,0,0,0
"bubblestbh",0,0,0,0,1,0
"Twy",0,0,0,1,0,0
"Hanzo",1,0,0,0,0,0
"Eric Bledsoe",1,0,0,0,0,0
"Michael Grimm",1,0,0,0,0,0
"Lena Dunham",0,0,0,0,1,0
"VLuGJgf w3Y",0,0,0,1,0,0
"Kirk",1,0,0,0,0,0
"domo",0,0,0,0,1,0
"Kyrie",1,0,0,0,0,0
"Crosspost",0,0,0,1,0,0
"Shpongle Simon Posford DJ",0,0,1,0,0,0
"Tomi Lahren",0,0,0,0,1,0
"Clair de Lune",0,1,0,0,0,0
"jzaffos",0,0,0,0,1,0
"Michael Kraus",1,0,0,0,0,0
"Desi",1,0,0,0,0,0
"Rousseff",1,0,0,0,0,0
"Mitchell",1,0,0,0,0,0
"Olu of Warri",0,0,0,0,1,0
"rick astley",0,0,0,0,1,0
"Oliver",1,0,0,0,0,0
"@Jessica_Chobot",0,0,0,0,1,0
"Jonyeee",1,0,0,0,0,0
"Willow Smith",1,0,0,0,0,0
"Trisha",1,0,0,0,0,0
"Tweets",0,0,0,1,0,0
"@ KenyeahMonae",0,0,0,0,1,0
"Robinho",0,0,1,0,0,0
"simon",0,0,0,0,1,0
"grian",0,0,0,0,1,0
"Mike Vick",1,0,0,0,0,0
"Long 18k",0,0,0,1,0,0
"Skhumba",1,0,0,0,0,0
"Sandra",1,0,0,0,0,0
"Preston",0,0,0,0,1,0
"Zac Efron '",0,0,1,0,0,0
"Negan",0,0,0,0,1,0
"Ruben",1,0,0,0,0,0
"Mackail-Smith",0,0,0,0,1,0
"CPHPython",0,0,0,0,1,0
"Rashad",1,0,0,0,0,0
"Clay",0,0,0,0,1,0
"Aye",0,0,0,1,0,0
"Butlins Got",0,0,0,1,0,0
"freddie",0,0,0,0,1,0
"Nevermimd",0,0,0,1,0,0
"Esther Sikkimese",1,0,0,0,0,0
"Gabriel Resources",0,1,0,0,0,0
"Drebae",0,0,0,0,1,0
"Sarah",1,0,0,0,0,0
"sanchez",0,0,0,0,1,0
"Miranda",1,0,0,0,0,0
"ouat",0,0,0,0,1,0
"ellwood",0,0,0,0,1,0
"Tessa",1,0,0,0,0,0
"Trump",1,0,0,0,0,0
"u / nicklovettnz",0,0,0,0,1,0
"Trudeau",1,0,0,0,0,0
"Linzi Sawyer RT",0,0,1,0,0,0
"Dongou",1,0,0,0,0,0
"Maroon 5",0,1,0,0,0,0
"Dick",0,0,0,1,0,0
"diego",0,0,0,0,1,0
"Brad paisley",0,0,0,0,1,0
"kevin",0,0,0,0,1,0
"Codys",0,0,0,0,1,0
"Albin",1,0,0,0,0,0
"Kay",0,0,1,0,0,0
"Birdman",1,0,0,0,0,0
"J.",0,0,0,1,0,0
"GA Jan 9th 11th",0,0,0,1,0,0
"French Montana",0,0,0,0,1,0
"Lindsay Lohan",1,0,0,0,0,0
"Otis Earle",1,0,0,0,0,0
"Goodbye",0,0,0,1,0,0
"jai rebelism",0,0,0,0,1,0
"Crosby",1,0,0,0,0,0
"Chelsea Handler",1,0,0,0,0,0
"Delhomme",0,1,0,0,0,0
"Ariana",1,0,0,0,0,0
"Jan 19",0,0,0,1,0,0
"justthen",0,0,0,0,1,0
"Yeweezii Jst",0,0,0,1,0,0
"brad",0,0,0,0,1,0
"Grimaldo",1,0,0,0,0,0
"Wonder Woman Hendrix",0,0,1,0,0,0
"Visuals",0,0,0,1,0,0
"Peter Hitchens Fervent",0,0,1,0,0,0
"Hendo",1,0,0,0,0,0
"Tommy WIseau",1,0,0,0,0,0
"H. R. 5739",0,0,0,1,0,0
"tanner",0,0,0,0,1,0
"Cristobal Huet",1,0,0,0,0,0
"Natalia",1,0,0,0,0,0
