Entity,COR,INC,PAR,SPU,MIS,IGN
"office",0,0,0,0,1,0
"RT OfficialBHAFC : BHAFC",0,0,0,1,0,0
"Xantec",0,0,0,0,1,0
"Oauth",0,0,0,0,1,0
"PU Leather Case Smart",0,0,0,1,0,0
"Lamborghini",0,0,0,0,1,0
"GTA",0,0,0,0,1,0
"Great Please",0,0,0,1,0,0
"Range Rover Evoque",1,0,0,0,0,0
"RT zahrock12 : Fuck",0,0,0,1,0,0
"capri sun",0,0,0,0,1,0
"H E B Plus",0,0,0,1,0,0
"co/4ZtFowj6FF For New iPad 4 4G Gen 3",0,0,1,0,0,0
"RT uniqueLA : BIG NEWS",0,0,0,1,0,0
"TGIF RT AllTeensThings",0,0,0,1,0,0
"BlackBerry",0,0,0,0,1,0
"ryll",0,0,0,0,1,0
"VPN server",0,0,0,0,1,0
"a Coke",0,0,1,0,0,0
"LCGila 07 CuriousCatMe",0,0,0,1,0,0
"Chrysler",0,0,0,0,1,0
"Roen belt",0,0,0,0,1,0
"Toyota",0,0,0,0,1,0
"SoundCloud",0,1,0,0,0,0
"Uroxatral",0,0,0,0,1,0
"RT NAT3OH3",0,0,0,1,0,0
"barbie dolls",0,0,0,0,1,0
"Wax",0,0,0,1,0,0
"Ipad pro",0,0,0,0,1,0
"USB 3",0,0,0,1,0,0
"Photoshop",1,0,0,0,0,0
"BB Bold",0,0,0,0,1,0
"PAKI READY MGA ORDERS AND PAYMENTS lonabenali29",0,0,0,1,0,0
"RT BieberInAus : WAIT I THHINK JUSTINBIEBER IS STILL ON BECAUSE HE WAS JUST ON FACEBOOK 1 MIN AGO",0,0,1,0,0,0
"gaviscon",0,0,0,0,1,0
"RT OMGTotallyLegit :",0,0,1,0,0,0
"Fucking MP 5",0,0,1,0,0,0
"heinz",0,0,0,0,1,0
"Sky 3D",0,1,0,0,0,0
"Ultimate skin",0,0,0,0,1,0
"tex 980 333 3923",0,0,0,1,0,0
"F Wind : WNW",0,0,0,1,0,0
"WAN NA TALK TO YOU",0,0,0,1,0,0
"Cachupas",0,0,0,0,1,0
"mini itx",0,0,0,0,1,0
"a FREE Fried Mac N ' Cheese",0,0,0,1,0,0
"google pixel",0,0,0,0,1,0
"AlicesdrThe CuriousCatMe KKKKKKKKKK",0,0,0,1,0,0
"the 1s n 2s Daniim92",0,0,0,1,0,0
"RT ThePredator48 :",0,0,0,1,0,0
"Cat nappin '",0,0,0,1,0,0
"Windows Hello",0,0,0,0,1,0
"SSO",0,0,0,0,1,0
"Yellow Lot 17",0,0,0,1,0,0
"26Promo YOU CAN DO IT Just",0,0,0,1,0,0
"Xbox 360 :",0,0,1,0,0,0
"Hyper V",0,0,0,0,1,0
"Kahlua",0,0,0,0,1,0
"Aight Ahh",0,0,0,1,0,0
"Trailer",0,0,0,1,0,0
"Part 3 Try",0,0,0,1,0,0
"co/YMKHcRifTS RT Nazaire 73",0,0,0,1,0,0
"Noodles",0,0,0,0,1,0
"RT er 1",0,0,0,1,0,0
"Ziploc",1,0,0,0,0,0
"gmail",0,0,0,0,1,0
"Halo Reach",0,0,0,0,1,0
"serpintine belt",0,0,0,0,1,0
"Minecraft",0,1,0,0,0,0
"717 6th St Nw Dc",0,0,0,1,0,0
"the Nike Dunk High",0,0,1,0,0,0
"RT USArmy : USArmy",0,0,0,1,0,0
"BERTENGGER RT VickiEngland74",0,0,0,1,0,0
"SoundCloud mixes",0,0,0,0,1,0
"HOW LONG AGO U GOING OUT TONIGHT",0,0,0,1,0,0
"WiFi",1,0,0,0,0,0
"Snowstorm",0,0,0,1,0,0
"Taurus",0,0,0,1,0,0
"IoT / h MPS Yep",0,0,1,0,0,0
"Halo",0,0,0,0,1,0
"RT SonyElectronics : Sony/Bud Light 3D",0,0,0,1,0,0
"Jar jar binx",0,1,0,0,0,0
"TOS font",0,0,0,0,1,0
"Kurzgesagt",0,1,0,0,0,0
"Do n't Have Time To Stop In Then",0,0,0,1,0,0
"Vizsla this year",0,0,0,1,0,0
"Virgo",0,0,0,0,1,0
"parasut Inter black-blue",0,0,0,0,1,0
"Instagr",0,0,0,0,1,0
"The Ride",0,1,0,0,0,0
"Blackberry",0,1,0,0,0,0
"Big fan of Ps 4",0,0,1,0,0,0
"pro am",0,0,0,0,1,0
"Cowboys 28",0,0,0,1,0,0
"Matfer Bourgeat",0,0,0,0,1,0
"Lol 3",0,0,0,1,0,0
"GET HOME AND MY BROTHER IS ON THE MOTHER FUCKING XBOX",0,0,1,0,0,0
"Morton 's Salt",0,0,0,0,1,0
"ipod",0,0,0,0,1,0
"hanamura",0,0,0,0,1,0
"Eclipse Spyder",0,0,0,0,1,0
"iPod",1,0,0,0,0,0
"acer",0,0,0,0,1,0
"Ubuntu",0,0,0,0,1,0
"Packer",0,1,0,0,0,0
"BOSSTIPS",0,0,0,0,1,0
"RT DailySexSupply 7",0,0,0,1,0,0
"Pepsi",0,1,0,0,0,0
"ZM",0,1,0,0,0,0
"macdonalds",0,0,0,0,1,0
"ougie",0,0,0,0,1,0
"Bugatti",0,0,0,0,1,0
"RT WeScreamAlex : LET 'S ALL GET WASTED TONIGHT OK ImBieberGuy",0,0,0,1,0,0
"nivolumab",0,0,0,0,1,0
"And the Apple",0,0,0,1,0,0
"WoW",0,0,0,0,1,0
"YungBang 954 `` I Jumped",0,0,0,1,0,0
"Radio 1",0,0,0,1,0,0
"Rogue One",0,1,0,0,0,0
"Crayons",0,0,0,1,0,0
"Subaru",1,0,0,0,0,0
"Dr L 8 J 2 M 7",0,0,0,1,0,0
"RT NatGeoSociety : Friday",0,0,0,1,0,0
"Digimon",0,0,0,0,1,0
"Morphe Pallette",0,0,0,0,1,0
"the HTC Desire Z",0,0,1,0,0,0
"Cool",0,0,0,1,0,0
"SQL",0,0,0,0,1,0
"' Into the Wild ' collection",0,0,0,0,1,0
"Aquarius",0,0,0,1,0,0
"I 'M DEAD WAHHH RT CommonWhiteGirI :",0,0,0,1,0,0
"tinder",0,0,0,0,1,0
"CJ",0,1,0,0,0,0
"dabigatran",0,0,0,0,1,0
"RT WakaFlocka1017 : SO WHEN I GET ON 106 N JOKE AROUND YALL TALK ABOUT ME LIKE A DOG SHAWTY BUT WHEN I BUY 30,000 WORTH SCHOOL SUPPLY N",0,0,0,1,0,0
"corvette",0,0,0,0,1,0
"Darius",0,1,0,0,0,0
"Coke",1,0,0,0,0,0
"Eagles 24",0,0,0,1,0,0
"wifi",0,0,0,0,1,0
"Xm 147 '",0,0,0,1,0,0
"RT AthCenter : Retweet",0,0,0,1,0,0
"Authy",0,0,0,0,1,0
"OMG THANK YOU TO DO THIS",0,0,0,1,0,0
"Explorer",0,0,0,1,0,0
"Amazon Prime",0,0,0,0,1,0
"Weight 54kg",0,0,0,1,0,0
"yoga laptop",0,0,0,0,1,0
"Zlatan",0,0,0,0,1,0
"Thunderbolt 3",1,0,0,0,0,0
"IPad",0,0,0,0,1,0
"Apollo",0,1,0,0,0,0
"flonase nasal spray",0,0,0,0,1,0
"RT BuffSabresGrl63 : RT LindyRuffsTie : RT FakeDarcy : No Derek",0,0,0,1,0,0
"Challenger",0,0,0,0,1,0
"250g 360 s Music amp",0,0,0,1,0,0
"Thinkpad",1,0,0,0,0,0
"RT DumpTrump 22",0,0,0,1,0,0
"RT TheOutlawz : EVERYBODY WHO WANT A FOLLOW FROM ME FOR FOLLOW FRIDAY LET ME KNOW WE AINT LIKE THESE HOLLYWOOD AZZ RAPPERS WE FOLLOW BACK",0,0,1,0,0,0
"the Queen Mary 2",0,0,1,0,0,0
"Xbox",0,0,1,0,0,0
"Mandalorian",0,0,0,0,1,0
"Lyft",0,0,0,0,1,0
"Discovery There '",0,0,0,1,0,0
"Exodus Porter",0,0,0,0,1,0
"ipad",0,0,0,0,1,0
"Epic Mickey",0,0,0,0,1,0
"Demeyere",0,0,0,0,1,0
"Libra",0,0,0,1,0,0
"Blades WHL Just",0,0,0,1,0,0
"Trinidad pepper",0,0,0,0,1,0
"LADIES FREE B4 11PM VISIONS LOUNGE 247 1ST AVE HKY",0,0,0,1,0,0
"Google Search StefanMolyneux",0,0,1,0,0,0
"AI robot scepter",0,0,0,0,1,0
"Google Music",0,0,0,0,1,0
"RT CantBeliebIt : When Justin",0,0,0,1,0,0
"jackbox",0,0,0,0,1,0
"the 2nd gen Cure",0,0,0,1,0,0
"Maccabees",0,0,0,1,0,0
"Access Control Primitives",0,0,0,0,1,0
"RT Silje954 : AW",0,0,0,1,0,0
"Saab 900",1,0,0,0,0,0
"BLD",0,0,0,0,1,0
"fidget spinner",0,0,0,0,1,0
"File Photo The DRDO",0,0,0,1,0,0
"Wtf",0,0,0,1,0,0
"The Avengers",0,0,0,0,1,0
"the Jet Black Airpods",0,0,1,0,0,0
"RT atlantamade1986Shorts",0,0,0,1,0,0
"IRL NHsmc",0,0,0,1,0,0
"co/Zw69ngeHZa",0,0,0,1,0,0
"MAYWARDForCocaColaPH",0,0,0,0,1,0
"Aries",0,0,0,1,0,0
"ABC30",0,0,0,1,0,0
"Moon",0,0,1,0,0,0
"AN AMAZING SHOW GOING ON TONIGHT AT JANNUS LIVE",0,0,0,1,0,0
"Aqua loop",0,0,0,0,1,0
"raspberry sorbet gum",0,0,0,0,1,0
"Bio Spot 6 Month Spot On Flea",0,0,1,0,0,0
"Windows Event log",0,0,0,0,1,0
"black airpods",0,0,0,0,1,0
"android",0,0,0,0,1,0
"Waitlist 3",0,0,0,1,0,0
"R E T W E E T",0,0,0,1,0,0
"co/q8ASkhEIJl Here s 100 in FREE Postmates",0,0,1,0,0,0
"Nostalgia",0,0,0,0,1,0
"ly/cLjJPO Jump",0,0,0,1,0,0
"Part 1 : Holidays Try",0,0,0,1,0,0
"RT OMGwhatateen : RT",0,0,0,1,0,0
"Casio",0,0,0,0,1,0
"GazaGenahsyde Awesome",0,0,0,1,0,0
"GhostSec ' s pentest labs",0,0,0,0,1,0
"IZ UP IN OUR FOODZ",0,0,0,1,0,0
"The River Rom",0,0,0,1,0,0
"MissUniverse Belize Let '",0,0,0,1,0,0
"LMAO When",0,0,0,1,0,0
"ASMR",0,0,0,0,1,0
"FiNaLlY Just",0,0,0,1,0,0
"BF 4",1,0,0,0,0,0
"Quicksilver",0,1,0,0,0,0
"woodprix",0,0,0,0,1,0
"Merc",0,0,0,0,1,0
"RETWEET PLEASE MuchLove",0,0,1,0,0,0
"iarmys",0,0,0,0,1,0
"OpenSSH",0,0,0,0,1,0
"Pisces",0,0,0,1,0,0
"XD Ca n't",0,0,0,1,0,0
"Coffee",0,0,0,0,1,0
"Ewings",0,0,0,0,1,0
"Leo Full Moon 's",0,0,0,1,0,0
"RT ChrystallK : Yo",0,0,0,1,0,0
"prepaid master card",0,0,0,0,1,0
"2mar RT Huddy85",0,0,0,1,0,0
"4Maret Final 30 Mei 2015 *MNCTV",0,0,0,1,0,0
"droids",0,0,0,0,1,0
"Centrelink",0,0,0,0,1,0
"All Clad",0,0,0,0,1,0
"H 1 Z 1",0,1,0,0,0,0
"OMG Fact 14906 :",0,0,0,1,0,0
"TURNS ON YOU TO SPITE YOU WHAT HAPPENS WHEN YOU BECOME THE MAIN SOURCE OF HER PAIN Yo",0,0,0,1,0,0
"Linux OS",0,0,0,0,1,0
"Fila",0,0,0,0,1,0
"rc var",0,0,0,0,1,0
"Concorde",0,0,0,0,1,0
"RT UCBrowser : BabuBeg It 's",0,0,0,1,0,0
"RT MgaPinoyPatama : Buti pa ang 8888",0,0,0,1,0,0
"Powerful Iphone 7",0,0,1,0,0,0
"tnt",0,0,0,0,1,0
"instagram",0,0,0,0,1,0
"iOS",0,0,0,0,1,0
"Sudocrem",0,0,0,0,1,0
"Margarita Madness",1,0,0,0,0,0
"F Humidity : 7 amp",0,0,0,1,0,0
"WorkFromHome BestMusicVideo iHeartAwards",0,0,0,1,0,0
"audi mercedes bmw",0,0,0,0,1,0
"MERCI XX",0,0,0,1,0,0
"Semis",0,0,0,0,1,0
"master card",0,0,0,0,1,0
"RT LucieMerl : Retweet si tu",0,0,0,1,0,0
"Dior",0,0,0,0,1,0
"Sandman Slim",0,0,0,0,1,0
"AZUKARlounge Baka Boyz LIVE w/ DJ Elements 103",0,0,0,1,0,0
"CoS",0,0,0,0,1,0
"3 RT SonyElectronics : Sony/Bud Light 3D",0,0,0,1,0,0
"It cosmetics superhero eslastic stretch mascara",0,0,0,0,1,0
"MICROFOCUS RT LILBTHEBASEDGOD : THANK YOU BASEDGOD",0,0,1,0,0,0
"Vivaldi",0,0,0,0,1,0
"Xbox 360",1,0,0,0,0,0
"ozee",0,0,0,0,1,0
"Club Penguin",0,0,0,0,1,0
"google",0,0,0,0,1,0
"iPhones",1,0,0,0,0,0
"mathjax",0,0,0,0,1,0
"Jetta",1,0,0,0,0,0
"Game of Thrones",0,1,0,0,0,0
"The Road 2",0,0,0,1,0,0
"GHz 6 Gb 750 Gb DVDRW 17",0,0,1,0,0,0
"Playstation 4",1,0,0,0,0,0
"MW necklace",0,0,0,0,1,0
"co/XSJMR1UnKI MOD Pou APK",0,0,0,1,0,0
"Rally4Sanity",0,0,0,1,0,0
"Guitar Hero",0,0,0,0,1,0
"the Hudson TMA",0,0,0,1,0,0
"Somehow my iPad in Airplane",0,0,1,0,0,0
"windows",0,0,0,0,1,0
"skittles",0,0,0,0,1,0
"RT KleinISD : The KleinISD Daily",0,0,0,1,0,0
"Part 7 Try",0,0,0,1,0,0
"Ferrari",0,0,1,0,0,0
"Youtube",0,0,0,0,1,0
"Sony/Bud Light 3D",0,0,0,1,0,0
"a D Teammate Grade",0,0,0,1,0,0
"Dortmunder Gold",0,0,0,0,1,0
"Lounge22 Powered",0,0,1,0,0,0
"IMMA ASK THIS AGAIN HOW LONG DO YOU TALK TO A GIRL BEFORE U MAKE IT OFFICIAL",0,0,0,1,0,0
"Person Contact 918295750515",0,0,0,1,0,0
"9 C Max : 11 C Min : 9 C MyWeather",0,0,0,1,0,0
"RT EckoMMA : CRAZY FF DEAL",0,0,0,1,0,0
"wifi chip",0,0,0,0,1,0
"TeamWonder RT MsSingandPlay : bruindude92",0,0,0,1,0,0
"Camron Captions 1",0,0,0,1,0,0
"FIDO U 2 F",1,0,0,0,0,0
"pine nuts",0,0,0,0,1,0
"green tea",0,0,0,0,1,0
"Free Romeo",0,0,0,1,0,0
"epipen",0,0,0,0,1,0
"MysteryGuitarMan U",0,0,0,1,0,0
"OKC VS HOUSTON JAN 16 Beauty Deals 7113",0,0,0,1,0,0
"oni genji",0,0,0,0,1,0
"SMS/WA 081235994171 PIN 512A3491 http :",0,0,0,1,0,0
"sega genesis",0,0,0,0,1,0
"Sensor : 18 Temp : 15 . 000 Humi : 37 . 000 Sensor : 27 Temp : 15 . 000 Humi : 36 . 000 Good New Nike Air",0,0,0,1,0,0
"Kenworth",0,0,0,0,1,0
"Chevrolet Corvette MSRP 102520 Grand Sport 3 LT GPS Leather Torch Red New Navigation",0,0,1,0,0,0
"MLIA Quotealicious",0,0,0,1,0,0
"Tiger Woods",0,1,0,0,0,0
"cadillac",0,0,0,0,1,0
"TRAMPOLINE VS YOU JusT DESTROY YOUR TRAMP BY DOING THIS OMG",0,0,1,0,0,0
"vodka",0,0,0,0,1,0
"Electric",0,0,0,1,0,0
"F 35",0,0,0,1,0,0
"Self Service Garage",0,0,0,1,0,0
"a Nokia 5800 Just",0,0,1,0,0,0
"Gnocchi",0,0,0,0,1,0
"RIDE `` sd 7 Jan , 185K",0,0,0,1,0,0
"Dieting",0,0,0,1,0,0
"TimeToGetOut",0,0,0,1,0,0
"RT JAMESINREHAB : 4094jij05b",0,0,0,1,0,0
"Demiguise",0,0,0,1,0,0
"Titan 3 Potros 2 Top 5th 0 Out 0",0,0,0,1,0,0
"Dodge Demon",0,0,0,0,1,0
"classic galvanometer",0,0,0,0,1,0
"club penguin",0,0,0,0,1,0
"twizzlers",0,0,0,0,1,0
"xD SATURDAY NIGHT CAST PARTY INVITATION",0,0,0,1,0,0
"ITS LIKE YOU JUST LOOKED AT THE SMUT SATURDAY TAG",0,0,0,1,0,0
"Sellotape",0,0,0,0,1,0
"M&amp;M",0,0,0,0,1,0
"Rose Press",0,0,0,0,1,0
"htaccess",0,0,0,0,1,0
"Dodge Cuda",0,0,0,0,1,0
"RT LightCMS : Day 6 : Win 1 of 10",0,0,0,1,0,0
"Zune HD",1,0,0,0,0,0
"Scooter Braun",0,1,0,0,0,0
"yRyK9doEmHE",0,0,0,1,0,0
"A Few Clouds",0,0,0,1,0,0
"GoodNight Final",0,0,0,1,0,0
"TEXTING LACURA TO 33733 http :",0,0,0,1,0,0
"JUST HIT ME SO IF YOU ON DEMAND TONITE `` GOT TA BODY `` MUST LISTEN FREEKEY ZEKEY FT JIM JONES",0,0,0,1,0,0
"Smule",0,0,0,0,1,0
"Mjölnirs",0,0,0,0,1,0
"Car Loader",0,0,1,0,0,0
"Around The World Twice",0,0,0,0,1,0
"Ms",0,0,0,1,0,0
"mithril",0,0,0,0,1,0
"S E X Y C H I L D R E N 1 : 15 It '",0,0,0,1,0,0
"CamelBak BPA-Free Better Bottle with Bite Valve",0,0,0,0,1,0
"Pringles",0,0,0,0,1,0
"Desert Rd",0,1,0,0,0,0
"ballistic galvanometer",0,0,0,0,1,0
"XL",0,0,0,1,0,0
"Vinkare",0,1,0,0,0,0
"Scorpio",0,0,0,1,0,0
"OMG YES YES YES YES YES YES YES What Would Happen If The Earth Suddenly Disappeared",0,0,0,1,0,0
"Titan AE",0,0,0,0,1,0
"overwatch",0,0,0,0,1,0
"VIVAnews RT Mufalsa :",0,0,0,1,0,0
"python",0,0,0,0,1,0
"GT-R",0,0,0,0,1,0
"Quickloot",0,0,0,0,1,0
"RT HarryxClique : RT IF I SHOULD POST A SELFIE",0,0,1,0,0,0
"wildcard certificate private key security",0,0,0,0,1,0
"Sultry",0,0,0,1,0,0
"AF Might",0,0,0,1,0,0
"2B",0,0,0,1,0,0
"bord",0,0,0,0,1,0
"LCD Soundsystem Where",0,0,0,1,0,0
"Keyshot",0,0,0,0,1,0
"sd card",0,0,0,0,1,0
"Mirai",0,0,0,0,1,0
"Crocs",0,1,0,0,0,0
"Cryptonomicon",0,0,0,0,1,0
"Ginger Peach",0,0,0,1,0,0
"quora",0,0,0,0,1,0
"minecraft",0,0,0,0,1,0
"bugatti V",0,0,0,0,1,0
"ONFRITA RT KenzieComersMum : quot",0,0,0,1,0,0
"Internet",0,0,0,0,1,0
"Touchscreen",0,0,0,0,1,0
"RT 6yaya9",0,0,0,1,0,0
"OMG THAT DAB NOOOOOOO 2 : 20 Is",0,0,0,1,0,0
"chipotle",0,0,0,0,1,0
*TOTAL*,18,22,31,153,504,0
