Entity,COR,INC,PAR,SPU,MIS,IGN
"27 na",0,0,0,0,0,1
"21 miles",0,0,0,0,0,1
"1 . 80 M",0,0,0,0,0,1
"2 inches",0,0,0,0,0,1
"7 10pm Golf Mixer",0,0,0,0,0,1
"0 . 0 km",0,0,0,0,0,1
"10 mg x 90 pills",0,0,0,0,0,1
"00 pm 29 m 45 s",0,0,0,0,0,1
"a million calories",0,0,0,0,0,1
"33 km",0,0,0,0,0,1
"287 m",0,0,0,0,0,1
"26 yard",0,0,0,0,0,1
"tons",0,0,0,0,0,1
"20 + yrs",0,0,0,0,0,1
"8 th or 9 th",0,0,0,0,0,1
"4,000 passing yards",0,0,0,0,0,1
"5 kilo",0,0,0,0,0,1
"Est 85 mile",0,0,0,0,0,1
"a ma soeur ou celle comme mon beau",0,0,0,0,0,1
"5 degrees",0,0,0,0,0,1
"140 mg",0,0,0,0,0,1
"57 m",0,0,0,0,0,1
"45 degree angle",0,0,0,0,0,1
"1 hr",0,0,0,0,0,1
"3,000 miles",0,0,0,0,0,1
"80 yards",0,0,0,0,0,1
"3 secondes",0,0,0,0,0,1
"70 inch",0,0,0,0,0,1
"13 MM",0,0,0,0,0,1
"30 min",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,30
