Entity,COR,INC,PAR,SPU,MIS,IGN
"the January Savings Event",0,0,0,0,0,1
"Independence Day",0,1,0,0,0,0
"Sushi before Sundown GhostAdventures",0,0,0,0,0,1
"World Championship",0,0,0,0,0,1
"Our Pet Spa and Adoption Event",0,0,0,0,0,1
"the Awakening Festival",0,0,0,0,0,1
"Constitution Day",0,0,0,0,0,1
"Yom Kippur",0,0,0,0,0,1
"w / 3",0,0,0,0,0,1
"Spirit Week",0,0,0,0,0,1
"LOS ANGELES OPENING WEEKEND EXTRAVAGANZA """,0,0,0,0,0,1
"Erenice War",0,1,0,0,0,0
"the Super Bowl",0,0,0,0,0,1
"Olympic Champion",0,0,0,0,0,1
"California Home Sales Decline Year Over Year",0,0,0,0,0,1
"Boston2024 Winter Weather Advisory",0,0,0,0,0,1
"Korean War",0,0,0,0,0,1
"Hurricane Earl",0,0,0,0,0,1
"Green Day",0,1,0,0,0,0
"New year",0,0,0,0,0,1
"Plano Balloon Festival",0,0,0,0,0,1
"the BaristaThing Event",0,0,0,0,0,1
"Vancouver Resource Investment Conference 2015",0,0,0,0,0,1
"Crufts",0,1,0,0,0,0
"Qatar 2022",0,0,0,0,0,1
"Super Bowl Sunday",0,0,0,0,0,1
"DomesticExtremist Awareness Day",0,0,0,0,0,1
"the Great Pumpkin",0,0,0,0,0,1
"Mayday Parade amp",0,0,0,0,0,1
"World Cup",0,0,0,0,0,1
"Greek Festival",0,0,0,0,0,1
"Annual Chocolate Crawl",0,0,0,0,0,1
"Summer Vancouver",0,0,0,0,0,1
"the Middle East and Africa December Regional Debate",0,0,0,0,0,1
"New Year",0,0,0,0,0,1
"Happy New Year BarryMarkson1",0,0,0,0,0,1
"Secret Wars",0,1,0,0,0,0
"Observances",0,0,0,0,0,1
"COD",0,0,0,0,0,1
"World War 3",0,0,0,0,0,1
"August Alsina Study and Go Abroad Fairs",0,0,0,0,0,1
"Super Bowl",0,1,0,0,0,0
"Parking Day Parking Day",0,0,0,0,0,1
"Tekken Tag Tournament",0,1,0,0,0,0
"New Year '",0,0,0,0,0,1
""" September Freestyle """,0,0,0,0,0,1
"Happy New Year",0,0,0,0,0,1
"9 / 11",0,0,0,0,0,1
"Thanksgiving",0,0,0,0,0,1
*TOTAL*,0,7,0,0,0,42
