Entity,COR,INC,PAR,SPU,MIS,IGN
"a Berry Farm",0,0,0,0,0,1
"Grand Masquerade",0,0,0,0,0,1
"The DeAndre Way",0,1,0,0,0,0
"Fort Mason",0,1,0,0,0,0
"Lance 210",0,0,0,0,0,1
"Subway",0,1,0,0,0,0
"US 32",0,0,0,0,0,1
"BMT",0,0,0,0,0,1
"the Hawk ' s Nest",0,0,0,0,0,1
"Cromwell Field",0,0,0,0,0,1
"Chapel Hill",0,1,0,0,0,0
"The Causeway",0,1,0,0,0,0
"RT ChuckMetcalf",0,0,0,0,0,1
"the Hudson TMA",0,0,0,0,0,1
"RT BomadeBeverage TEAMBOMADE",0,0,0,0,0,1
"RT Hardwick",0,0,0,0,0,1
"Smith Tower",0,1,0,0,0,0
"Metro",0,0,0,0,0,1
"Skyview Observatory",0,1,0,0,0,0
"Olive Garden",0,1,0,0,0,0
"La la land",0,1,0,0,0,0
"TailGreat",0,0,0,0,0,1
"Grammar Boot Camp",0,0,0,0,0,1
"Wildcat Stadium",0,1,0,0,0,0
"Buffalo Municipal Airport",0,1,0,0,0,0
"Glenveagh",0,0,0,0,0,1
"Morgan Le Fays",0,1,0,0,0,0
"Pavonia Avenue",0,1,0,0,0,0
"New Orleans Square",0,1,0,0,0,0
"Discover Downtown La Grange",0,0,0,0,0,1
"Capitol",0,0,0,0,0,1
"Marriott",0,0,0,0,0,1
"Pi CWE",0,0,0,0,0,1
"Glover Park",0,1,0,0,0,0
"Costa Lounge TONIGHT",0,0,0,0,0,1
"Haunted House",0,1,0,0,0,0
"8 Bond Street",0,0,0,0,0,1
"La La Land",0,1,0,0,0,0
"JFT 96",0,0,0,0,0,1
"the Student Centre",0,0,0,0,0,1
"Texas 16 2",0,0,0,0,0,1
"The Lodge",0,1,0,0,0,0
"Burnaby 8Rinks",0,0,0,0,0,1
"Fulham",0,1,0,0,0,0
"Badlands National Park",0,1,0,0,0,0
"Clark Airbase Hospital",0,1,0,0,0,0
"la / azQO2g",0,0,0,0,0,1
"Long Island Mac Arthur Airport",0,1,0,0,0,0
"Jumbotron",0,0,0,0,0,1
"Redondo Beach Blvd",0,1,0,0,0,0
"The Trump Tower",0,0,0,0,0,1
"the Southgate House",0,0,0,0,0,1
"UNF Arena",0,1,0,0,0,0
"Club Champ",0,0,0,0,0,1
"Bowl Long Island",0,1,0,0,0,0
"the White House",0,0,0,0,0,1
"the San Diego Jewish Academy",0,0,0,0,0,1
"Ana Municipal Grounds",0,0,0,0,0,1
"^ commands Road",0,0,0,0,0,1
"Ghostland Observatory",0,1,0,0,0,0
"MCM",0,0,0,0,0,1
"Disneyland",0,1,0,0,0,0
"South 107 ' s Battle of the Bands",0,0,0,0,0,1
"St Johns",0,1,0,0,0,0
"Desert Rd",0,1,0,0,0,0
"London Hyde Park Corner",0,0,0,0,0,1
"Town Square Place",0,1,0,0,0,0
"SWFC",0,0,0,0,0,1
"Swayzes Venue",0,1,0,0,0,0
"New Life",0,1,0,0,0,0
"Leacock Museum",0,1,0,0,0,0
"the Civil House",0,0,0,0,0,1
*TOTAL*,0,33,0,0,0,39
