Entity,COR,INC,PAR,SPU,MIS,IGN
"South 107 's",0,0,0,0,0,1
"River",0,0,0,0,0,1
"the Middle East",0,0,0,0,0,1
"Costa",0,0,0,0,0,1
"QB",0,0,0,0,0,1
"Western Europe",0,1,0,0,0,0
"Chapel Hill",0,1,0,0,0,0
"Cape Town",0,1,0,0,0,0
"Eastern Europe",0,1,0,0,0,0
"Earth",0,1,0,0,0,0
"TheLuxeHour",0,0,0,0,0,1
"AUS",0,1,0,0,0,0
"Iar",0,0,0,0,0,1
"South Park",0,0,0,0,0,1
"Mosques",0,0,0,0,0,1
"earth",0,1,0,0,0,0
"Glover Park",0,1,0,0,0,0
"Gale Hawthorne",0,1,0,0,0,0
"Europa",0,1,0,0,0,0
"Twy",0,0,0,0,0,1
"Europe",0,1,0,0,0,0
"Cloyd Rivers",0,1,0,0,0,0
"detta Love",0,0,0,0,0,1
"Optimise",0,1,0,0,0,0
"Africa",0,1,0,0,0,0
"Vanc",0,0,0,0,0,1
"Discovery Island",0,1,0,0,0,0
"West Indies",0,1,0,0,0,0
"Middle earth",0,0,0,0,0,1
"Teaze",0,0,0,0,0,1
"Ziploc",0,1,0,0,0,0
"nova",0,0,0,0,0,1
"Eastern Bloc",0,1,0,0,0,0
"The River Rom",0,0,0,0,0,1
"the west coast",0,0,0,0,0,1
"kashmir",0,0,0,0,0,1
"rd",0,0,0,0,0,1
"The Bay",0,1,0,0,0,0
"Philly",0,1,0,0,0,0
"Jupiter",0,1,0,0,0,0
"East Slopes",0,0,0,0,0,1
"GS",0,0,0,0,0,1
*TOTAL*,0,21,0,0,0,21
