Entity,COR,INC,PAR,SPU,MIS,IGN
"1M",0,0,0,0,0,1
"13 30stm",0,0,0,0,0,1
"10 mark",0,0,0,0,0,1
"13 MM",0,0,0,0,0,1
"21 miles",0,0,0,0,0,1
"21 Miles",0,0,0,0,0,1
"5 lbs",0,0,0,0,0,1
"thirty Warmer Temperatures",0,0,0,0,0,1
"2 inches",0,0,0,0,0,1
"a ton",0,0,0,0,0,1
"4 ppl",0,0,0,0,0,1
"33 km",0,0,0,0,0,1
"8 Bond Street",0,0,0,0,0,1
"85 mile",0,0,0,0,0,1
"0 mm",0,0,0,0,0,1
"faster than 3,000 miles per hour",0,0,0,0,0,1
"287 m",0,0,0,0,0,1
"Three im",0,0,0,0,0,1
"1 Im",0,0,0,0,0,1
"4,000 passing yards",0,0,0,0,0,1
"six wickets",0,0,0,0,0,1
"5 kilo",0,0,0,0,0,1
"3 8 joejonas nickjonas kevinjonas papajonas greggarbo johnlloydtaylor Rock",0,0,0,0,0,1
"3 Rain",0,0,0,0,0,1
"45 degree",0,0,0,0,0,1
"5 degrees",0,0,0,0,0,1
"1 Oz http://t.",0,0,0,0,0,1
"57 m",0,0,0,0,0,1
"almost 70cm",0,0,0,0,0,1
"54kg",0,0,0,0,0,1
"9mph Rain",0,0,0,0,0,1
"80 yards",0,0,0,0,0,1
"1 MPH",0,0,0,0,0,1
"7 GHz 6 Gb 750 Gb DVDRW",0,0,0,0,0,1
"160cm",0,0,0,0,0,1
"70 inch",0,0,0,0,0,1
"548 MPH",0,0,0,0,0,1
*TOTAL*,0,0,0,0,0,37
