Entity,COR,INC,PAR,SPU,MIS,IGN
"WHOOPWHOOP",0,0,0,1,0,0
"Beautiful Ladies",0,0,0,1,0,0
"Store SQL",0,0,0,1,0,0
"Wax Club",0,0,0,1,0,0
"Wookipedia",1,0,0,0,0,0
"Assassins Creed",0,0,0,0,1,0
"Off Topic",0,0,0,1,0,0
"floral",0,0,0,0,1,0
"Music Box",0,1,0,0,0,0
"Dump Trump",0,0,0,1,0,0
"Lexicon",1,0,0,0,0,0
"The Ride",1,0,0,0,0,0
"Enhancing Political Stability in",0,0,0,1,0,0
"Star Trek",1,0,0,0,0,0
"Sushi before Sundown GhostAdventures",0,0,0,1,0,0
"SwallaVideo",0,0,0,0,1,0
"eBook Blitz",0,0,1,0,0,0
"Mcchoke",0,0,0,0,1,0
"Madagascar",0,0,0,0,1,0
"Collide",0,0,0,0,1,0
"Eventide Kindle Edition",0,0,0,1,0,0
"Powerless",0,0,0,0,1,0
"Magnolias at the Fly Community Theater",0,0,1,0,0,0
"Indi Go Go",0,1,0,0,0,0
"Award in Acne Drug Case https://t",0,0,0,1,0,0
"Lesson Learned",0,0,0,1,0,0
"Empire Avenue",0,0,0,0,1,0
"Rule of Cool",0,0,0,0,1,0
"A Different Kind Of Ache",0,0,0,0,1,0
"I'M DEAD WAHHH RT",0,0,0,1,0,0
"Brought You",0,0,0,1,0,0
"The Voice",0,0,0,0,1,0
"daesang award",0,0,0,1,0,0
"the Whiskey with Classified Hello",0,0,0,1,0,0
"Badass Babes",0,0,0,1,0,0
"All Parts",0,0,0,1,0,0
"The View",0,0,0,0,1,0
"On My Own Time Gym Class Heroes New",0,0,1,0,0,0
"RT Genius",0,0,0,1,0,0
"Gemini",0,0,0,1,0,0
"Lucid Dementia",0,1,0,0,0,0
"Boggling Facts That Will Serve Up a Plate of Food for Thought https://t",0,0,1,0,0,0
"Sore For The Past Days From Workin Out",0,0,0,1,0,0
"The Flash",0,1,0,0,0,0
"Joy Huhn RT",0,0,0,1,0,0
"Rachel : Audrey",0,0,0,1,0,0
"' m",0,0,0,1,0,0
"the True Blood",0,0,1,0,0,0
"bornofosichris",0,0,0,1,0,0
"Fragrant",0,0,0,0,1,0
"RotS",0,0,0,0,1,0
"Darling",0,0,0,0,1,0
"y aurait eu probablement pas de survivant",0,0,0,1,0,0
"Secret Wars",1,0,0,0,0,0
"Grandfather Bank",1,0,0,0,0,0
"Playtime Tv",0,0,1,0,0,0
"puff puff pass",0,0,0,0,1,0
"New Comic List",0,0,0,1,0,0
"Deadpool",0,0,0,0,1,0
"Honeymooners",1,0,0,0,0,0
"Now or Never ft KWESTA and other artists",0,0,0,0,1,0
"Private Practice",0,0,0,0,1,0
"ItsTravelVibes",0,0,0,0,1,0
"running wit mjd",1,0,0,0,0,0
"Demos 3AM",0,0,1,0,0,0
"strokes of genius",0,0,0,0,1,0
"Battle of the Bands next Friday",0,0,0,1,0,0
"Digeridoo",0,0,0,0,1,0
"PIC Spam 1st",0,0,0,1,0,0
"LOLOLOLOLOLOLOLOLOLOLOLOLOL Check",0,0,0,1,0,0
"Mindsweep",0,0,0,0,1,0
"Citizens of Earth",0,0,0,0,1,0
"Orange is the new black",0,0,0,0,1,0
"the Whiskey with Classified",0,0,0,1,0,0
"Ladies ' Night",0,0,0,1,0,0
"Boogie Shoes and Get Down Tonight",0,0,0,1,0,0
"Stubborn Heart",0,0,0,0,1,0
"Lifescript",0,0,0,0,1,0
"The Three Stooges",1,0,0,0,0,0
"Go Lancers",0,0,0,1,0,0
"Metamorphosis",0,0,0,0,1,0
"JENNIFERS BODY",0,0,0,0,1,0
"January Sale Tassel Necklace",0,0,0,1,0,0
"California Woman Dies in Accident Hours",0,0,0,1,0,0
"Then booya Hit",0,0,0,1,0,0
"File Photo",0,0,0,1,0,0
"Fringe",0,0,0,0,1,0
"Saturday Night Live in Beantown",1,0,0,0,0,0
"HowDoYouFeelChallenge",0,0,0,0,1,0
"Music News Net :",0,0,0,1,0,0
"VMA",0,0,0,0,1,0
"Questions Not Answers",0,0,0,0,1,0
"Interstellar "" amp;",0,0,1,0,0,0
"Koops",0,0,0,0,1,0
"mIGWlpiPRq RT MattyBRaps",0,0,0,1,0,0
"CULTOFMIKEY",0,0,0,1,0,0
"Dhoni Vs Nehra",0,0,0,0,1,0
"Life Time Keygen",0,0,0,1,0,0
"The Confidence Factor for Women : Equalpay",0,0,0,1,0,0
"The Echo",0,1,0,0,0,0
"Race Recap",0,1,0,0,0,0
"tthe Car :/",0,0,0,1,0,0
"Boot Camp",0,0,0,1,0,0
"Facebook Job",0,0,0,1,0,0
"Half baked",0,0,0,0,1,0
"The Town",0,0,0,0,1,0
"Auto DJ Show",0,0,0,0,1,0
"dolphin on wheels",0,0,0,0,1,0
"Suṉi-ai",0,0,0,0,1,0
"Nostalgia",0,1,0,0,0,0
"fRiDaY Need",0,0,0,1,0,0
"Book",0,0,1,0,0,0
"Not a Genuine Black Man",1,0,0,0,0,0
"A Problem Feat",0,0,0,1,0,0
"Fargo",0,0,0,0,1,0
"Commutation Relation",0,0,0,1,0,0
"TeamWonder RT MsSingandPlay",0,0,0,1,0,0
"BEAUTY TIPS :",0,0,0,1,0,0
"Supercell OMFG LMAO",0,0,0,1,0,0
"homefront",0,0,0,0,1,0
"Cowboys Kickoff Is At 12:05 P. M.",0,0,0,1,0,0
"Woman :",0,0,0,1,0,0
"how high",0,0,0,0,1,0
"Wildfire",0,0,0,0,1,0
"Star Wars Land",0,1,0,0,0,0
"learn Colors and Numbers",0,0,0,0,1,0
"the pregame light show",0,0,0,0,1,0
"Princess Peach Comes Back",0,0,0,0,1,0
"iTunes Instant :",0,0,0,1,0,0
"GT",0,1,0,0,0,0
"Na",0,0,0,1,0,0
"A I",0,0,1,0,0,0
"Danger Days",0,0,1,0,0,0
"s the Plan",0,0,0,1,0,0
"Love It",0,0,0,1,0,0
"HOLIDAY ROOOOOOOOOOAAAAAAAAAAAAAAAAAAAAAAAAADDDDDDDDDDDDDD",0,0,0,0,1,0
"This Is Our Someday Big Time Rush lt",0,0,1,0,0,0
"the writers guide",0,0,0,0,1,0
"The Behemoth",0,0,0,0,1,0
"KleinISD",0,0,0,0,1,0
"moonlight",0,0,0,0,1,0
"Fate of the Furious",0,0,0,0,1,0
"Gold Rush",1,0,0,0,0,0
"Space Jam",1,0,0,0,0,0
"Right Now",0,0,0,1,0,0
"Discovery There ' s",0,0,1,0,0,0
"Conan",0,0,0,0,1,0
"The Weather in Glasgow",0,0,0,1,0,0
"exo",0,0,0,1,0,0
"Universal Basic Income",0,0,0,1,0,0
"Teenage Dream",0,0,0,0,1,0
"ARIES",0,0,0,0,1,0
"Localizing Yakuza",0,0,0,1,0,0
"The Six Thatchers",0,0,0,0,1,0
"K-On",0,0,0,0,1,0
"Say Aah",0,0,0,1,0,0
"With You",0,0,0,0,1,0
"#Berlinale",0,0,0,0,1,0
"Buckling , Crumbling",0,0,0,1,0,0
"League Pass",0,0,0,0,1,0
"20 Photographs That Will Leave You Speechless",0,0,0,1,0,0
"A Song Of Ice &amp; Fire",0,0,0,0,1,0
"uZalo",0,0,0,0,1,0
"WS4mEwtgnw RT",0,0,0,1,0,0
"Jimmy Fallon",0,1,0,0,0,0
"Lindooo Pero Un Touch De Aburrimiento",0,0,0,1,0,0
"All Parts + * New Season 2 ,",0,0,0,1,0,0
"Esports",0,0,0,0,1,0
"di inbox",0,0,0,1,0,0
"Favorite YouTube Videos",0,0,0,1,0,0
"The Weekend Grind",1,0,0,0,0,0
"Zeitgeist",0,1,0,0,0,0
"stanima",0,0,0,1,0,0
"Master 's Sun "" RT",0,0,0,1,0,0
"The Science of Happiness Want Success",0,0,0,1,0,0
"Transformer movies",0,0,0,0,1,0
"Pokemon",0,0,0,0,1,0
"Kishan",0,1,0,0,0,0
"Poetry Challenge",0,0,0,1,0,0
"RILEYENNIS RT saferprint",0,0,0,1,0,0
"Sing to SECTION 204",0,0,0,1,0,0
"The Black Keys "" Lonely Boy",0,0,1,0,0,0
"The Depths of Poverty",0,0,0,1,0,0
"Demolition Man",0,0,0,0,1,0
"The Room",0,0,0,0,1,0
"She Love Me",0,0,0,1,0,0
"akinghes siiim tipo",0,0,0,1,0,0
"Guitar Lessons",0,0,0,1,0,0
"Busta",0,1,0,0,0,0
"Atlas Shrugs http://tinyurl",0,0,1,0,0,0
"btv",0,0,1,0,0,0
