Entity,COR,INC,PAR,SPU,MIS,IGN
"the January Savings Event",0,0,0,0,0,1
"vorige week",0,0,0,0,0,1
"Independence Day",0,1,0,0,0,0
"This Week",0,0,0,0,0,1
"Parijs",0,0,0,0,0,1
"Woman Gets Year",0,0,0,0,0,1
"New Year 's",0,0,0,0,0,1
"Kids Tente Series MON JARDIN TENTE",0,0,0,0,0,1
"the SBLeurope Next year",0,0,0,0,0,1
"The New World Order :",0,0,0,0,0,1
"MO Kansas City",0,0,0,0,0,1
"BBN AppleMagazine",0,0,0,0,0,1
"the Awakening Festival",0,0,0,0,0,1
"The Forex Revolution http://bit",0,0,0,0,0,1
"Screen Rant Got",0,0,0,0,0,1
"Happy Valley Comment",0,0,0,0,0,1
"Timmies February 2nd RT",0,0,0,0,0,1
"The Next Three Days Higgs",0,0,0,0,0,1
"The Week",0,0,0,0,0,1
"the 2002 World Cup",0,0,0,0,0,1
"Erenice War",0,1,0,0,0,0
"Great week",0,0,0,0,0,1
"New Season 2",0,0,0,0,0,1
"Olan",0,1,0,0,0,0
"Super Bowl http://t",0,0,0,0,0,1
"This Week on Information Underground",0,0,0,0,0,1
"Hurricane Earl",0,0,0,0,0,1
"Green Day",0,1,0,0,0,0
"Popular Regional Series",0,0,0,0,0,1
"New year",0,0,0,0,0,1
"Fastest Growing Private",0,0,0,0,0,1
"Plano Balloon Festival",0,0,0,0,0,1
"Favourite Inspirational Quote https://t",0,0,0,0,0,1
"cbc Sports Day",0,0,0,0,0,1
"Great Work",0,0,0,0,0,1
"Game of Thrones",0,1,0,0,0,0
"Super Bowl MVP",0,0,0,0,0,1
"Willies",0,1,0,0,0,0
"Qatar 2022 World Cup",0,0,0,0,0,1
"Professional 3mos",0,0,0,0,0,1
"Episode 10",0,0,0,0,0,1
"Black Friday Mixtape RT",0,0,0,0,0,1
"b9vMjW Balloon",0,0,0,0,0,1
"DomesticExtremist Awareness Day",0,0,0,0,0,1
"NEXT YEAR",0,0,0,0,0,1
"Greek Festival",0,0,0,0,0,1
"Fashion Week",0,0,0,0,0,1
"HAPPY NEW YEAR",0,0,0,0,0,1
"New year Amber",0,0,0,0,0,1
"Fathers Day Trip",0,0,0,0,0,1
"New Year",0,0,0,0,0,1
"World War 3",0,0,0,0,0,1
"Lowkey Thursday RT",0,0,0,0,0,1
"national Walk at Work Day http://bit",0,0,0,0,0,1
"Plano Balloon Festival 2",0,0,0,0,0,1
"Grand Theft Auto",0,1,0,0,0,0
"MENA FOREX EXPO Announce",0,0,0,0,0,1
"the Super Bowl http://t",0,0,0,0,0,1
"Super Bowl",0,1,0,0,0,0
"Hugo",0,1,0,0,0,0
"Olympics",0,0,0,0,0,1
"sanBrunofire",0,0,0,0,0,1
"HoveLive Festival",0,0,0,0,0,1
"Thanksgiving",0,0,0,0,0,1
*TOTAL*,0,9,0,0,0,55
