Entity,COR,INC,PAR,SPU,MIS,IGN
"Aug 24",0,0,0,0,0,1
"Money Ain '",0,0,0,0,0,1
"ASFried 1/2 Happy Constitution Day",0,0,0,0,0,1
"chapter five",0,0,0,0,0,1
"the Constitution",0,1,0,0,0,0
"Constitution Day",0,0,0,0,0,1
"The X Files",0,0,0,0,0,1
"Paranormal Activity 2 http://j",0,0,0,0,0,1
"mii nerd floww",0,0,0,0,0,1
"BbXEVrcpmE Amendment",0,0,0,0,0,1
"Generation 32",0,0,0,0,0,1
"Universal Basic Income",0,0,0,0,0,1
"nd Amendment",0,0,0,0,0,1
"Rg2eopRpWB Nexus 6",0,0,0,0,0,1
"Sept 18",0,0,0,0,0,1
"CoffeeGeek",0,0,0,0,0,1
"Az 1 Awards",0,0,0,0,0,1
"Our Favorite YouTube",0,0,0,0,0,1
"Feb 4",0,0,0,0,0,1
"BOGEN / MANFROTTO",0,0,0,0,0,1
"the Tenth Amendment",0,0,0,0,0,1
*TOTAL*,0,1,0,0,0,20
