Entity,COR,INC,PAR,SPU,MIS,IGN
"2002",0,0,0,0,0,1
"Today",0,0,0,0,0,1
"JANUARY 17th Back2The90sTurnUp Arkadelphia CountryClub",0,0,0,0,0,1
"January 20.",0,0,0,0,0,1
"3333",0,0,0,0,0,1
"September",0,0,0,0,0,1
"January Sale Tassel Necklace. Free",0,0,0,0,0,1
"Wednesday",0,0,0,0,0,1
"0815",0,0,0,0,0,1
"' 15",0,0,0,0,0,1
"Tuesday Tuesday",0,0,0,0,0,1
"Friday night",0,0,0,0,0,1
"Sunday Dec 28 2014",0,0,0,0,0,1
"8888",0,0,0,0,0,1
"January 21",0,0,0,0,0,1
"January 15",0,0,0,0,0,1
"Thursday",0,0,0,0,0,1
"3116",0,0,0,0,0,1
"Tuesday , February",0,0,0,0,0,1
"Nov.",0,0,0,0,0,1
"January 09 , 2015",0,0,0,0,0,1
"April 14th",0,0,0,0,0,1
"tuesday",0,0,0,0,0,1
"April this year",0,0,0,0,0,1
"This week",0,0,0,0,0,1
"Wednesday Jan 21 2015 18",0,0,0,0,0,1
"august",0,0,0,0,0,1
"Dec. 24 Noche Buena Dec. 31 Media Noche Jan.",0,0,0,0,0,1
"October 24th 2017",0,0,0,0,0,1
"february",0,0,0,0,0,1
"Friday Jan 16 201",0,0,0,0,0,1
"thursday",0,0,0,0,0,1
"Oct. 12th",0,0,0,0,0,1
"23. 19",0,0,0,0,0,1
"58 years ago today",0,0,0,0,0,1
"June 2 , 1914",0,0,0,0,0,1
"2010",0,0,0,0,0,1
"2008 last year",0,0,0,0,0,1
"21st century",0,0,0,0,0,1
"April 30 , 2015",0,0,0,0,0,1
"LittleMix this saturday",0,0,0,0,0,1
"2nd half Sunday",0,0,0,0,0,1
"December 25 , 2014",0,0,0,0,0,1
"4th Az 1",0,0,0,0,0,1
"1956",0,0,0,0,0,1
"January 13",0,0,0,0,0,1
"Oct 27",0,0,0,0,0,1
"Monday night",0,0,0,0,0,1
"1st week",0,0,0,0,0,1
"January 4 , 2015",0,0,0,0,0,1
"May 2010",0,0,0,0,0,1
"1994",0,0,0,0,0,1
"2nd half",0,0,0,0,0,1
"Spring",0,1,0,0,0,0
"January 29 , 2015",0,0,0,0,0,1
"June Fest 2010",0,0,0,0,0,1
"Sep 29 , 2010",0,0,0,0,0,1
"Tomorrow night",0,0,0,0,0,1
"September 21",0,0,0,0,0,1
"' Day 26",0,0,0,0,0,1
"Saturday afternoon",0,0,0,0,0,1
"Oct 1",0,0,0,0,0,1
"Thursday evening",0,0,0,0,0,1
"Monday , February",0,0,0,0,0,1
"October 7th Business Alliance",0,0,0,0,0,1
"december",0,0,0,0,0,1
"saturday evening",0,0,0,0,0,1
"January 19",0,0,0,0,0,1
"Saturday Sequence. Southampton v Everton",0,0,0,0,0,1
"Dec. 18",0,0,0,0,0,1
"Summer Vancouver summerstill May",0,0,0,0,0,1
"today Today",0,0,0,0,0,1
"November 6",0,0,0,0,0,1
"January 08 , 2015",0,0,0,0,0,1
"July 2000.",0,0,0,0,0,1
"1492",0,0,0,0,0,1
"Wednesday MvC3 Fight Club",0,0,0,0,0,1
"1130",0,0,0,0,0,1
"December Kennesaw Mountain National Battlefield Park http:t. coHqxsnFhE6n Kung",0,0,0,0,0,1
"July 2010",0,0,0,0,0,1
"Nearly 50 years.",0,0,0,0,0,1
"January 30 , 2015",0,0,0,0,0,1
"last 7 days",0,0,0,0,0,1
"December 16 , 2014",0,0,0,0,0,1
"Oct. 2 1",0,0,0,0,0,1
"Wednesday Dec 24 2014",0,0,0,0,0,1
"Friday Night",0,0,0,0,0,1
"March 8",0,0,0,0,0,1
"Oct 22",0,0,0,0,0,1
"January 16 , 2015",0,0,0,0,0,1
"December",0,0,0,0,0,1
"25 , 2017",0,0,0,0,0,1
"September the 11 th 2001",0,0,0,0,0,1
"June",0,0,0,0,0,1
"Sunday , October 10",0,0,0,0,0,1
"January 4.",0,0,0,0,0,1
"August 2010",0,0,0,0,0,1
"1932",0,0,0,0,0,1
"Apr 2015",0,0,0,0,0,1
"December 21 , 2014",0,0,0,0,0,1
"February 02 , 2015",0,0,0,0,0,1
"Sept. 17",0,0,0,0,0,1
"December 31 , 2014",0,0,0,0,0,1
"Dec. 17",0,0,0,0,0,1
"2017",0,0,0,0,0,1
"January 19 , 2015",0,0,0,0,0,1
"fall",0,0,0,0,0,1
"1. 30",0,0,0,0,0,1
"Wednesdays",0,0,0,0,0,1
"September 17",0,0,0,0,0,1
"Saturday , Sep 18",0,0,0,0,0,1
"june 9",0,0,0,0,0,1
"Jan.",0,0,0,0,0,1
"Weekend September",0,0,0,0,0,1
"January 04",0,0,0,0,0,1
"January 28 , 2015",0,0,0,0,0,1
"Tuesday Fight Night",0,0,0,0,0,1
"March 6",0,0,0,0,0,1
"Monday Wolven VanessaY",0,0,0,0,0,1
"8825 Panasonic AG",0,0,0,0,0,1
"last sunday",0,0,0,0,0,1
"Dec 31 2014",0,0,0,0,0,1
"1980",0,0,0,0,0,1
"March 1991.",0,0,0,0,0,1
"2day 2 rest this week",0,0,0,0,0,1
"January 25 , 2015",0,0,0,0,0,1
"2016",0,0,0,0,0,1
"Sunday Jan 25",0,0,0,0,0,1
"1700",0,0,0,0,0,1
"Saturday morning",0,0,0,0,0,1
"2012",0,0,0,0,0,1
"Saturday February 14th 2014",0,0,0,0,0,1
"hoggy_allday weekend saturday",0,0,0,0,0,1
"October 9th 2010",0,0,0,0,0,1
"sunday afternoon",0,0,0,0,0,1
"saturday",0,0,0,0,0,1
"August 2nd",0,0,0,0,0,1
"12th Jan http:t. co8P1jYg4CRx RT",0,0,0,0,0,1
"Monday",0,0,0,0,0,1
"2014 15 16Besar 7",0,0,0,0,0,1
"spring",0,0,0,0,0,1
"2000",0,0,0,0,0,1
"October 24 , 2010",0,0,0,0,0,1
"1960",0,0,0,0,0,1
"January 08",0,0,0,0,0,1
"2017 01 25 01",0,0,0,0,0,1
"December 30 , 2014",0,0,0,0,0,1
"January 06",0,0,0,0,0,1
"1981",0,0,0,0,0,1
"Sunday afternoon",0,0,0,0,0,1
