Entity,COR,INC,PAR,SPU,MIS,IGN
"494",0,0,0,0,0,1
"12",0,0,0,0,0,1
"9000",0,0,0,0,0,1
"36,000",0,0,0,0,0,1
"250",0,0,0,0,0,1
"5v5",0,0,0,0,0,1
"227",0,0,0,0,0,1
"thousands",0,0,0,0,0,1
"923",0,0,0,0,0,1
"Ten",0,0,0,0,0,1
"35",0,0,0,0,0,1
"0/1",0,0,0,0,0,1
"3 million",0,0,0,0,0,1
"2617",0,0,0,0,0,1
"x25",0,0,0,0,0,1
"7",0,0,0,0,0,1
"755",0,0,0,0,0,1
"Seven",0,0,0,0,0,1
"16_x",0,0,0,0,0,1
"201",0,0,0,0,0,1
"82",0,0,0,0,0,1
"160",0,0,0,0,0,1
"23",0,0,0,0,0,1
"90",0,0,0,0,0,1
"230",0,0,0,0,0,1
"3 0",0,0,0,0,0,1
"16",0,0,0,0,0,1
"0815",0,0,0,0,0,1
"156",0,0,0,0,0,1
"26",0,0,0,0,0,1
"026",0,0,0,0,0,1
"five",0,0,0,0,0,1
"41",0,0,0,0,0,1
"SIX",0,0,0,0,0,1
"89",0,0,0,0,0,1
"half",0,0,0,0,0,1
"Thousands",0,0,0,0,0,1
"38",0,0,0,0,0,1
"07",0,0,0,0,0,1
"04",0,0,0,0,0,1
"25",0,0,0,0,0,1
"15",0,0,0,0,0,1
"200",0,0,0,0,0,1
"599",0,0,0,0,0,1
"222",0,0,0,0,0,1
"548",0,0,0,0,0,1
"6e21e751",0,0,0,0,0,1
"000",0,0,0,0,0,1
"500",0,0,0,0,0,1
"800",0,0,0,0,0,1
"142",0,0,0,0,0,1
"87",0,0,0,0,0,1
"59",0,0,0,0,0,1
"30",0,0,0,0,0,1
"32351",0,0,0,0,0,1
"37",0,0,0,0,0,1
"two",0,0,0,0,0,1
"zero",0,0,0,0,0,1
"3116",0,0,0,0,0,1
"1,200",0,0,0,0,0,1
"10:30",0,0,0,0,0,1
"15 million",0,0,0,0,0,1
"4 530",0,0,0,0,0,1
"4:00",0,0,0,0,0,1
"like a million",0,0,0,0,0,1
"21 2",0,0,0,0,0,1
"32",0,0,0,0,0,1
"44",0,0,0,0,0,1
"3254",0,0,0,0,0,1
"116",0,0,0,0,0,1
"0.",0,0,0,0,0,1
"104",0,0,0,0,0,1
"2 billion",0,0,0,0,0,1
"59925",0,0,0,0,0,1
"226",0,0,0,0,0,1
"4094",0,0,0,0,0,1
"6",0,0,0,0,0,1
"140",0,0,0,0,0,1
"More than 500",0,0,0,0,0,1
"20 billion",0,0,0,0,0,1
"4,000",0,0,0,0,0,1
"twelve",0,0,0,0,0,1
"0",0,0,0,0,0,1
"73",0,0,0,0,0,1
"8 11",0,0,0,0,0,1
"over 223,000",0,0,0,0,0,1
"96",0,0,0,0,0,1
"22",0,0,0,0,0,1
"3",0,0,0,0,0,1
"10000",0,0,0,0,0,1
