Entity,COR,INC,PAR,SPU,MIS,IGN
"2002",0,0,0,0,0,1
"Week 2",0,0,0,0,0,1
"the late December",0,0,0,0,0,1
"Twas the Saturday before Christmas",0,0,0,0,0,1
"Yesterday",0,0,0,0,0,1
"Today",0,0,0,0,0,1
"the coming days",0,0,0,0,0,1
"Late Jan",0,0,0,0,0,1
"the 6 months",0,0,0,0,0,1
"September",0,0,0,0,0,1
"August Boi Ching Lang",0,0,0,0,0,1
"Wednesday",0,0,0,0,0,1
"this Wednesday",0,0,0,0,0,1
"THOSE days",0,0,0,0,0,1
"day 3",0,0,0,0,0,1
"Tuesday Tuesday",0,0,0,0,0,1
"20 + yrs",0,0,0,0,0,1
"15",0,0,0,0,0,1
"Beautiful day",0,0,0,0,0,1
"Sunday Dec 28 2014",0,0,0,0,0,1
"last mont",0,0,0,0,0,1
"a week",0,0,0,0,0,1
"tomorrow 2020",0,0,0,0,0,1
"January 15",0,0,0,0,0,1
"weeks",0,0,0,0,0,1
"Thursday",0,0,0,0,0,1
"the last month",0,0,0,0,0,1
"3 days",0,0,0,0,0,1
"1926",0,0,0,0,0,1
"the 21st century",0,0,0,0,0,1
"March 1991",0,0,0,0,0,1
"October 10",0,0,0,0,0,1
"Jan 2015",0,0,0,0,0,1
"January 09 , 2015",0,0,0,0,0,1
"first year",0,0,0,0,0,1
"the night 1st",0,0,0,0,0,1
"Lol Day",0,0,0,0,0,1
"July 2013",0,0,0,0,0,1
"4 day",0,0,0,0,0,1
"April 14th",0,0,0,0,0,1
"the Monday",0,0,0,0,0,1
"tuesday",0,0,0,0,0,1
"2 1/2 years",0,0,0,0,0,1
"6",0,0,0,0,0,1
"Next week",0,0,0,0,0,1
"15 days",0,0,0,0,0,1
"six years",0,0,0,0,0,1
"tomorrow",0,0,0,0,0,1
"99 days",0,0,0,0,0,1
"60 day",0,0,0,0,0,1
"April this year",0,0,0,0,0,1
"This week",0,0,0,0,0,1
"6+ more years",0,0,0,0,0,1
"60 years later",0,0,0,0,0,1
"Wednesday Jan 21 2015 18",0,0,0,0,0,1
"WEDNESDAY 31",0,0,0,0,0,1
"tommorrow",0,0,0,0,0,1
