Dataset,Group,Model,Category,TNNT-Category,Entity,COR,INC,PAR,SPU,MIS,IGN
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","a middle - aged carpenter",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Ellwood",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Volesky",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abboud Qanbar Arabic",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Saddam Hussein",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Robert Ford",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Hollande",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","U. S. Marines",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Ibrahim al Jaafari",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Russell",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","his spiritual adviser",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","The secretary",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Ibrahim al - Jaafari",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Travis Caughlin",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Sajida Mubarak Atrous al - Rishawi",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Andrew Burns",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Voganlei",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Da",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Inherent Resolve Commander",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Colville.",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Dabiq",0,1,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the UN High Commissioner for Human Rights",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Ayn Isa",0,1,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Foreign Minister Al - Jubeir",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Boris Johnson",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Envoy de Mistura",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Envoy",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","one child",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the Foreign Secretary",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Karim Wasifi",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","2 Qanbar",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Shi",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","A police officer",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the lead Syrian commander for AQI ' s logistics",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Dae",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Iraqi Prime Minister ‎ Haider al - Abadi",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Mohammed",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Near Ayn Isa",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Karim two",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Lt Gen Talib Shaghati",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Abu Musab al Zarqawi '",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Hassan",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Darayya",0,1,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Karim",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Isiah L. Booker",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Lavrov earlier today",0,0,0,1,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","MR KIRBY",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Col. John ' J.D. ' Dorrian",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","A spokesman",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Stephen J. Townsend",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Johnson",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Isiah L . Booker",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","John J. Thomas",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Peter Cook",0,0,1,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","the Prime Minister - designate , Haider al - Abadi",0,0,0,0,1,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","George Haswani",1,0,0,0,0,0
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person","Federica Mogherini",0,0,1,0,0,0
