Entity,COR,INC,PAR,SPU,MIS,IGN
"Tashkent",0,1,0,0,0,0
"Karrada",0,1,0,0,0,0
"Israel",0,1,0,0,0,0
"Mosul eight days ago",0,0,0,0,0,1
"Geneva",0,1,0,0,0,0
"France",0,1,0,0,0,0
"Tel Tamer",0,0,0,0,0,1
"Cibolo",0,0,0,0,0,1
"Dabiq",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"Ukraine",0,1,0,0,0,0
"Damascus",0,1,0,0,0,0
"Texas",0,0,0,0,0,1
"Diyala Province",0,1,0,0,0,0
"London",0,1,0,0,0,0
"Woodbridge",0,0,0,0,0,1
"Lebanon",0,1,0,0,0,0
"Palmyra",0,1,0,0,0,0
"Tuloul Naser",0,0,0,0,0,1
"Mezzeh",0,1,0,0,0,0
"Germany",0,0,0,0,0,1
"East Mosul",0,0,0,0,0,1
"Istanbul",0,1,0,0,0,0
"Babylon",0,0,0,0,0,1
"the United States",0,1,0,0,0,0
"Uzbekistan",0,1,0,0,0,0
"Netherlands",0,1,0,0,0,0
"Wadi Barada",0,1,0,0,0,0
"Calais",0,0,0,0,0,1
"the United Kingdom",0,1,0,0,0,0
"Karabilah",0,1,0,0,0,0
"Mosul",0,1,0,0,0,0
"Saudi Arabia s",0,0,0,0,0,1
"Marea",0,1,0,0,0,0
"Samarra",0,1,0,0,0,0
"Madaya",0,1,0,0,0,0
"Sadah",0,1,0,0,0,0
"Canberra",0,1,0,0,0,0
"Virginia Beach",0,0,0,0,0,1
"The U. S.",0,0,0,0,0,1
"Urem al Kubra",0,0,0,0,0,1
"Virginia",0,0,0,0,0,1
"al Hilla",0,0,0,0,0,1
"United States",0,0,0,0,0,1
"the Netherlands",0,0,0,0,0,1
"Sarmada",0,0,0,0,0,1
"Canada",0,1,0,0,0,0
"Daquq",0,1,0,0,0,0
"Jordan",0,1,0,0,0,0
"Syria",0,1,0,0,0,0
"Homs",0,1,0,0,0,0
"Berlin",0,0,0,0,0,1
"Tikrit",0,1,0,0,0,0
"Stockholm",0,0,0,0,0,1
"the U. S.",0,0,0,0,0,1
"Aleppo",0,1,0,0,0,0
"Raqqa",0,1,0,0,0,0
"Azaz",0,0,0,0,0,1
"D. C.",0,0,0,0,0,1
"Australia",0,1,0,0,0,0
"Dayton",0,1,0,0,0,0
"Baghdad",0,1,0,0,0,0
"Astana",0,1,0,0,0,0
"ISIL",0,1,0,0,0,0
"Husaybah",0,1,0,0,0,0
"Vienna",0,1,0,0,0,0
"Sousse",0,1,0,0,0,0
"Raqqah",0,1,0,0,0,0
"Riyadh",0,1,0,0,0,0
"US Defense",0,0,0,0,0,1
"Sinjar",0,1,0,0,0,0
"Washington",0,1,0,0,0,0
"Anbar Province",0,0,0,0,0,1
"United Arab Emirates",0,1,0,0,0,0
"US",0,0,0,0,0,1
"Manbij",0,1,0,0,0,0
"Bahrain",0,1,0,0,0,0
"Hasaka Province",0,1,0,0,0,0
"Lebanon November 18 19",0,0,0,0,0,1
"The United States",0,1,0,0,0,0
"Amarah",0,1,0,0,0,0
"Turkey November 16 17",0,0,0,0,0,1
"U. S. Iraq",0,0,0,0,0,1
"Saudi Arabia",0,1,0,0,0,0
"New York",0,0,0,0,0,1
"Belgium",0,1,0,0,0,0
"Kirkuk Province",0,0,0,0,0,1
"Fallujah",0,1,0,0,0,0
"UK",0,1,0,0,0,0
"Iran",0,1,0,0,0,0
"Iraq",0,1,0,0,0,0
"Tinker this year",0,0,0,0,0,1
"Turkey",0,1,0,0,0,0
"Denmark",0,0,0,0,0,1
"Safina",0,0,0,0,0,1
*TOTAL*,0,60,0,0,0,35
