Entity,COR,INC,PAR,SPU,MIS,IGN
"three ISIL",0,0,1,0,0,0
"14",1,0,0,0,0,0
"40",0,0,0,1,0,0
"more than 18 , 000 square kilometers",0,0,1,0,0,0
"Ninety Four Citizen Airmen",0,0,0,1,0,0
"5",0,0,1,0,0,0
"39",1,0,0,0,0,0
"13",1,0,0,0,0,0
"224",1,0,0,0,0,0
"200",0,0,1,0,0,0
"300 m 984 ft",0,0,1,0,0,0
"multiple",0,0,0,0,1,0
"30",0,0,1,0,0,0
"six VBIEDs",0,0,1,0,0,0
"about 300 square miles",0,0,1,0,0,0
"000 Iraqi",0,0,1,0,0,0
"111",1,0,0,0,0,0
"two ISIL",0,0,1,0,0,0
"7",0,0,1,0,0,0
"10 per cent",0,0,0,0,1,0
"four",1,0,0,0,0,0
"280",0,0,0,0,1,0
"One",0,0,0,0,1,0
"274",1,0,0,0,0,0
"139",0,0,0,0,1,0
"43",1,0,0,0,0,0
"60",1,0,0,0,0,0
"up to 9 , 000 m3 / s 317 , 832 cu ft / s",0,0,1,0,0,0
"six",1,0,0,0,0,0
"6km",0,0,0,0,1,0
"three",1,0,0,0,0,0
"11",1,0,0,0,0,0
"6 , 602",0,0,0,0,1,0
"35",0,0,0,1,0,0
"at least once",0,0,0,0,1,0
"more than 20",0,0,0,0,1,0
"millions",0,0,0,0,1,0
"At least 10",0,0,0,0,1,0
"17",0,0,1,0,0,0
"at least three occasions",0,0,0,0,1,0
"8 km",0,0,0,0,1,0
"nine",0,0,0,0,1,0
"eight",1,0,0,0,0,0
"2 , 000",0,0,0,0,1,0
"about 35 km",0,0,1,0,0,0
"26",1,0,0,0,0,0
"80 , 000",0,0,0,0,1,0
"2 million",0,0,0,0,1,0
"dozens",0,0,0,0,1,0
"15",1,0,0,0,0,0
"16",1,0,0,0,0,0
"five million",0,0,0,0,1,0
"ISIL",0,1,0,0,0,0
"two al Qaida",0,0,1,0,0,0
"two",1,0,0,0,0,0
"five",1,0,0,0,0,0
"300 ANG Airmen",0,1,0,0,0,0
"4",0,0,1,0,0,0
"7 , 000 m3 / s 247 , 203 cu ft / s",0,0,1,0,0,0
"300 m",0,0,1,0,0,0
"29",0,0,0,0,1,0
"6 , 000",0,0,0,0,1,0
"20 , 000",0,0,0,0,1,0
"a few thousand",0,0,0,0,1,0
"15 km",0,0,1,0,0,0
"20",1,0,0,0,0,0
"28",1,0,0,0,0,0
"seven",0,0,0,0,1,0
"30 Britons",0,0,0,1,0,0
"922",0,0,0,0,1,0
"22",1,0,0,0,0,0
"42",1,0,0,0,0,0
"645",0,0,1,0,0,0
"three of the five",0,0,0,0,1,0
"70",1,0,0,0,0,0
"four miles",0,0,0,0,1,0
"60 - plus",0,0,0,0,1,0
"about 45 km 28 miles",0,0,1,0,0,0
*TOTAL*,23,2,21,4,28,0
