Entity,COR,INC,PAR,SPU,MIS,IGN
"the UK France Summit 2016",0,0,0,0,0,1
"Eager Lion 16",0,0,0,0,0,1
"the Manama Dialogue",0,1,0,0,0,0
"Operation Inherent Resolve",0,1,0,0,0,0
"a New Year",0,0,0,0,0,1
"the G7 Ise Shima Summit",0,0,0,0,0,1
"Operation Matador Air Force F 16 Fighting Falcons",0,0,0,0,0,1
"the G 20 Interfaith Conference",0,0,0,0,0,1
"the Brussels Conference on Syria",0,0,0,0,0,1
"Summit",0,0,0,0,0,1
"the Iran Iraq War",0,0,0,0,0,1
"Operation Steel Curtain Arabic",0,0,0,0,0,1
"the Syrian civil war",0,0,0,0,0,1
"Operation Sayeed Hunter",0,0,0,0,0,1
"Eid",0,0,0,0,0,1
"Operation Steel Curtain",0,0,0,0,0,1
""" "" Operation : Iron Fist """,0,0,0,0,0,1
*TOTAL*,0,2,0,0,0,15
