Entity,COR,INC,PAR,SPU,MIS,IGN
"000 m3 / s 317 , 832 cu ft / s",0,0,1,0,0,0
"about 35km",0,0,1,0,0,0
"more than 18 , 000 square kilometers",0,0,1,0,0,0
"7km four miles",0,0,1,0,0,0
"150 , 000 , 000 m3 121 , 607 acre ft",0,0,1,0,0,0
"80 , 000",0,0,0,0,1,0
"about 45km 28 miles",0,0,1,0,0,0
"multiple",0,0,0,0,1,0
"300m 984ft",0,0,1,0,0,0
"dozens",0,0,0,0,1,0
"870",0,0,0,0,1,0
"one dinar",0,1,0,0,0,0
"about 15km",0,0,1,0,0,0
"about 300 square miles",0,0,1,0,0,0
"at least once",0,0,0,0,1,0
"8 km 5 0 mi",0,0,1,0,0,0
"millions",0,0,0,0,1,0
"about 50m",0,0,1,0,0,0
"three of the five",0,0,0,0,1,0
"One",0,0,0,0,1,0
"about 30km 19 miles",0,0,1,0,0,0
"about 6km",0,0,1,0,0,0
"nine",0,0,0,0,1,0
"7 , 000 m3 / s 247 , 203 cu ft / s",0,0,1,0,0,0
*TOTAL*,0,1,14,0,27,0
