Entity,COR,INC,PAR,SPU,MIS,IGN
"Greenwich Mean Time Jeff Davis",0,0,1,0,0,0
"daylight hours",0,0,1,0,0,0
"the early hours of Sunday morning",0,0,1,0,0,0
"earlier on Friday",0,0,1,0,0,0
"the past 24 hours",1,0,0,0,0,0
"Greenwich Mean Time",1,0,0,0,0,0
"the last 24 hours",1,0,0,0,0,0
"10 a",0,0,1,0,0,0
"Ramadan",0,0,0,0,1,0
"' Z '",0,0,0,0,1,0
"early evening",0,0,1,0,0,0
"six or seven hours",0,0,0,0,1,0
"the morning",0,0,0,0,1,0
"the night",0,0,1,0,0,0
"this morning",0,0,0,1,0,0
"late morning",0,0,1,0,0,0
"a few hours before",1,0,0,0,0,0
"time of the attack",0,0,0,0,1,0
"11am on Thursday 28 July",1,0,0,0,0,0
"Later in the day",1,0,0,0,0,0
*TOTAL*,6,0,8,1,15,0
