Entity,COR,INC,PAR,SPU,MIS,IGN
"the UK France Summit 2016",0,0,0,0,0,1
"Operation Inherent Resolve",0,1,0,0,0,0
"the Iran Iraq War of 1980 88",0,0,0,0,0,1
"a New Year",0,0,0,0,0,1
"WMF",0,1,0,0,0,0
"the G 20 Interfaith Conference",0,0,0,0,0,1
"this Thanksgiving Day",0,1,0,0,0,0
"the September 17 Dayr az Zawr",0,0,0,0,0,1
"the Brussels Conference",0,0,0,0,0,1
"ISIL",0,1,0,0,0,0
"Operation Steel Curtain",0,0,0,0,0,1
"the G7 Ise Shima Summit",0,0,0,0,0,1
"HMS Daring D 32",0,0,0,0,0,1
"BAGHDAD Combined Joint Task Force Operation Inherent Resolve",0,0,0,0,0,1
"Thanksgiving",0,0,0,0,0,1
*TOTAL*,0,4,0,0,0,11
