Entity,COR,INC,PAR,SPU,MIS,IGN
"a New Year",0,0,0,0,0,1
"September 17 Dayr az Zawr",0,0,0,0,0,1
"the Brussels Conference",0,0,0,0,0,1
"the Iran Iraq War",0,0,0,0,0,1
"the Syrian civil war",0,0,0,0,0,1
"Gulf War",0,0,0,0,0,1
"Operation Matador",0,0,0,0,0,1
"Radio 4 ' s Crossing Continents",0,0,0,0,0,1
"the Manama Dialogue",0,1,0,0,0,0
"Operation Inherent Resolve",0,1,0,0,0,0
"Iraq The Summit",0,0,0,0,0,1
"the G7 Ise Shima Summit",0,0,0,0,0,1
"Eid",0,0,0,0,0,1
"Lion 16",0,0,0,0,0,1
"the Syrian conflict",0,0,0,0,0,1
"the 2003 war",0,0,0,0,0,1
"the G 20 Interfaith Conference",0,0,0,0,0,1
"the UK France Summit 2016",0,0,0,0,0,1
"Thanksgiving",0,0,0,0,0,1
*TOTAL*,0,2,0,0,0,17
