Entity,COR,INC,PAR,SPU,MIS,IGN
"Tashkent",0,1,0,0,0,0
"Kuwait",0,1,0,0,0,0
"Rawah",0,1,0,0,0,0
"the Diyala Province",0,1,0,0,0,0
"Karrada",0,1,0,0,0,0
"Libya",0,1,0,0,0,0
"Tal Afar",0,1,0,0,0,0
"Israel",0,1,0,0,0,0
"Geneva",0,1,0,0,0,0
"Hibhib Village",0,1,0,0,0,0
"France",0,1,0,0,0,0
"Tel Tamer",0,0,0,0,0,1
"Rufaila",0,1,0,0,0,0
"Cibolo",0,0,0,0,0,1
"Dabiq",0,1,0,0,0,0
"Anbar",0,0,0,0,0,1
"Al Shadaddi",0,1,0,0,0,0
"Tabqa Dam",0,1,0,0,0,0
"Paris",0,1,0,0,0,0
"al Khani",0,0,0,0,0,1
"Ukraine",0,1,0,0,0,0
"Damascus",0,1,0,0,0,0
"Texas",0,0,0,0,0,1
"Diyala Province",0,1,0,0,0,0
"London",0,1,0,0,0,0
"Brandbergen",0,0,0,0,0,1
"the United Arab Emirates",0,1,0,0,0,0
"Woodbridge",0,0,0,0,0,1
"Lebanon",0,1,0,0,0,0
"Palmyra",0,1,0,0,0,0
"Tartus",0,0,0,0,0,1
"Darayya",0,1,0,0,0,0
"Tuloul Naser",0,0,0,0,0,1
"Mezzeh",0,1,0,0,0,0
"Baquba",0,1,0,0,0,0
"Germany",0,0,0,0,0,1
"Sarmin",0,1,0,0,0,0
"East Mosul",0,0,0,0,0,1
"the Iraqi Kurdistan Region",0,1,0,0,0,0
"Istanbul",0,1,0,0,0,0
"Tharthar",0,0,0,0,0,1
"Babylon",0,0,0,0,0,1
"the United States",0,1,0,0,0,0
"Uzbekistan",0,1,0,0,0,0
"Calais",0,0,0,0,0,1
"Wadi Barada",0,1,0,0,0,0
"Doura",0,0,0,0,0,1
"Idlib",0,0,0,0,0,1
"Bayji",0,1,0,0,0,0
"the United Kingdom",0,1,0,0,0,0
"Karabilah",0,1,0,0,0,0
"Sabboura",0,1,0,0,0,0
"Mosul",0,1,0,0,0,0
"Fialaka",0,1,0,0,0,0
"Tabqa",0,1,0,0,0,0
"Ubaydi",0,0,0,0,0,1
"the Hashemite Kingdom of Jordan",0,1,0,0,0,0
"Marea",0,1,0,0,0,0
"Samarra",0,1,0,0,0,0
"Madaya",0,1,0,0,0,0
"Sadah",0,1,0,0,0,0
"Canberra",0,1,0,0,0,0
"Al Raqqa",0,0,0,0,0,1
"Virginia Beach",0,0,0,0,0,1
"Failaka",0,0,0,0,0,1
"Urem al Kubra",0,0,0,0,0,1
"Virginia",0,0,0,0,0,1
"al Hilla",0,0,0,0,0,1
"United States",0,0,0,0,0,1
"the Netherlands",0,0,0,0,0,1
"Sarmada",0,0,0,0,0,1
"Canada",0,1,0,0,0,0
"Daquq",0,1,0,0,0,0
"Rome",0,0,0,0,0,1
"the U",0,0,0,0,0,1
"Vermillion",0,0,0,0,0,1
"Kentucky",0,0,0,0,0,1
"Jordan",0,1,0,0,0,0
"Syria",0,1,0,0,0,0
"Homs",0,1,0,0,0,0
"Berlin",0,0,0,0,0,1
"Ar Raqqah",0,1,0,0,0,0
"Tikrit",0,1,0,0,0,0
"Stockholm",0,0,0,0,0,1
"Qatar",0,0,0,0,0,1
"Aleppo",0,1,0,0,0,0
"Fort Campbell",0,0,0,0,0,1
"Raqqa",0,1,0,0,0,0
"Azaz",0,0,0,0,0,1
"U.",0,0,0,0,0,1
"D. C.",0,0,0,0,0,1
"Jabla",0,1,0,0,0,0
"Australia",0,1,0,0,0,0
"South Dakota",0,0,0,0,0,1
"Dayton",0,1,0,0,0,0
"Baghdad",0,1,0,0,0,0
"Al Anbar",0,1,0,0,0,0
"Astana",0,1,0,0,0,0
"Russia",0,1,0,0,0,0
"U. K.",0,0,0,0,0,1
"Egypt",0,1,0,0,0,0
"Dayr Az Zayr",0,1,0,0,0,0
"Qamenas",0,1,0,0,0,0
"Husaybah",0,1,0,0,0,0
"Vienna",0,1,0,0,0,0
"U",0,0,0,0,0,1
"Sousse",0,1,0,0,0,0
"Raqqah",0,1,0,0,0,0
"Riyadh",0,1,0,0,0,0
"Ramtha",0,0,0,0,0,1
"Brussels",0,1,0,0,0,0
"Sinjar",0,1,0,0,0,0
"Washington",0,1,0,0,0,0
"Italy",0,0,0,0,0,1
"Minsk",0,0,0,0,0,1
"Anbar Province",0,0,0,0,0,1
"United Arab Emirates",0,1,0,0,0,0
"US",0,0,0,0,0,1
"Dayr Az Zawr",0,1,0,0,0,0
"Najaf",0,1,0,0,0,0
"Kirkuk",0,0,0,0,0,1
"Al Huwayjah",0,1,0,0,0,0
"Manbij",0,1,0,0,0,0
"Bahrain",0,1,0,0,0,0
"Camp Hurriya",0,1,0,0,0,0
"Hasaka Province",0,1,0,0,0,0
"Ninewa",0,0,0,0,0,1
"the U .",0,0,0,0,0,1
"Emirates",0,0,0,0,0,1
"Latakia",0,0,0,0,0,1
"The United States",0,1,0,0,0,0
"Amarah",0,1,0,0,0,0
"Salah ad Din Province",0,0,0,0,0,1
"Kurdistan",0,0,0,0,0,1
"Saudi Arabia",0,1,0,0,0,0
"Sweden",0,0,0,0,0,1
"Basra",0,1,0,0,0,0
"New York",0,0,0,0,0,1
"Kurdistan Regional",0,0,0,0,0,1
"UK France",0,0,0,0,0,1
"Belgium",0,1,0,0,0,0
"Talamenes",0,1,0,0,0,0
"Kirkuk Province",0,0,0,0,0,1
"Haninge Municipality",0,0,0,0,0,1
"Fallujah",0,1,0,0,0,0
"UK",0,1,0,0,0,0
"Iran",0,1,0,0,0,0
"Iraq",0,1,0,0,0,0
"Turkey",0,1,0,0,0,0
"Denmark",0,0,0,0,0,1
"Safina",0,0,0,0,0,1
*TOTAL*,0,91,0,0,0,60
