Entity,COR,INC,PAR,SPU,MIS,IGN
"May 2013",1,0,0,0,0,0
"the past two weeks",1,0,0,0,0,0
"Friday",1,0,0,0,0,0
"the first week",1,0,0,0,0,0
"last year '",0,0,1,0,0,0
"months",1,0,0,0,0,0
"next year",1,0,0,0,0,0
"A year ago",1,0,0,0,0,0
"Nov. 24",1,0,0,0,0,0
"nearly two years",0,0,1,0,0,0
"2009",0,0,1,0,0,0
"between 1977 1979",0,0,0,1,0,0
"2012",1,0,0,0,0,0
"1956",1,0,0,0,0,0
"recent weeks",0,0,1,0,0,0
"2008",1,0,0,0,0,0
"nearly 12 months",0,0,1,0,0,0
"November 16 17",0,0,0,1,0,0
"November 23",1,0,0,0,0,0
"one day",0,0,0,1,0,0
"Dec. 6th",1,0,0,0,0,0
"May 2016",1,0,0,0,0,0
"the past 20 plus months",0,0,1,0,0,0
"mid January",0,0,0,0,1,0
"23 December",1,0,0,0,0,0
"early November 2005",1,0,0,0,0,0
"three weeks",1,0,0,0,0,0
"40s",0,0,0,1,0,0
"Monday",1,0,0,0,0,0
"the coming days",0,0,1,0,0,0
"Saturday",1,0,0,0,0,0
"spring",1,0,0,0,0,0
"last July",1,0,0,0,0,0
"3 August 2016",1,0,0,0,0,0
"the morning",0,0,0,0,1,0
"50 last December",0,0,1,0,0,0
"14 year old",0,0,0,1,0,0
"1913",1,0,0,0,0,0
"Sunday",1,0,0,0,0,0
"yesterday",1,0,0,0,0,0
"Dec. 10.",0,0,1,0,0,0
"every day",1,0,0,0,0,0
"Thursday 28 July",0,0,1,0,0,0
"February 11 , 2016",1,0,0,0,0,0
"Dec. 14th",1,0,0,0,0,0
"1972",1,0,0,0,0,0
"recent days",1,0,0,0,0,0
"October 27",1,0,0,0,0,0
"between 11 13 Dec.",0,0,0,1,0,0
"October",1,0,0,0,0,0
"13 November",1,0,0,0,0,0
"30 November",0,0,0,1,0,0
"the night of the attack",0,0,0,0,1,0
"the spring",0,0,1,0,0,0
"two months",1,0,0,0,0,0
"12 February",1,0,0,0,0,0
"this week",1,0,0,0,0,0
"2007",1,0,0,0,0,0
"October 2005",1,0,0,0,0,0
"seven days",1,0,0,0,0,0
"eight days ago",1,0,0,0,0,0
"2001",1,0,0,0,0,0
"January 15 , 2006",1,0,0,0,0,0
"29 December",1,0,0,0,0,0
"Last Wednesday",1,0,0,0,0,0
"nearly four years ago",0,0,1,0,0,0
"300 year old",0,0,0,1,0,0
"December 2014",1,0,0,0,0,0
"February",1,0,0,0,0,0
"nearly four years",1,0,0,0,0,0
"four long years",0,0,1,0,0,0
"2006",1,0,0,0,0,0
"October 29",1,0,0,0,0,0
"May",1,0,0,0,0,0
"Nov. 5.",0,0,1,0,0,0
"Last month",1,0,0,0,0,0
"his mid 20s",0,0,0,1,0,0
"time of the attack",0,0,0,0,1,0
"October 25 26 , 2016",0,0,1,0,0,0
"Last year '",0,0,1,0,0,0
"Today",1,0,0,0,0,0
"two years",1,0,0,0,0,0
"today",1,0,0,0,0,0
"July 21 , 2016",1,0,0,0,0,0
"Last week",1,0,0,0,0,0
"the past three days",1,0,0,0,0,0
"2 years",1,0,0,0,0,0
"25 June",1,0,0,0,0,0
"February 2007",1,0,0,0,0,0
"Nearly 12 months",0,0,1,0,0,0
"early last month",0,0,0,1,0,0
"April 2015",1,0,0,0,0,0
"Next month",1,0,0,0,0,0
"almost every day",0,0,1,0,0,0
"the summer of 2017",1,0,0,0,0,0
"this Thanksgiving",1,0,0,0,0,0
"February 13. 4 U",0,0,1,0,0,0
"this Thanksgiving Day",1,0,0,0,0,0
"11 December",1,0,0,0,0,0
