Entity,COR,INC,PAR,SPU,MIS,IGN
"the Ramadi Barrage",0,1,0,0,0,0
"Mosul University",0,1,0,0,0,0
"Camp Hurriya",0,1,0,0,0,0
"Tiyas Military Airfield",0,1,0,0,0,0
"Pentagon",0,0,0,0,0,1
"Incirlik Air Base",0,0,0,0,0,1
"a Muslim Cultural Center",0,1,0,0,0,0
"the Brandbergen Mosque",0,1,0,0,0,0
"the Iraqi Museum",0,1,0,0,0,0
"Mosul Dam",0,0,0,0,0,1
"the Samarra Barrage",0,1,0,0,0,0
"Qayyarah Airfield West",0,1,0,0,0,0
"The Brandbergen Mosque",0,1,0,0,0,0
"The Ishtar Gate",0,1,0,0,0,0
"the Ishtar Gate",0,1,0,0,0,0
"Samarra Barrage",0,1,0,0,0,0
"al Hilla",0,0,0,0,0,1
*TOTAL*,0,13,0,0,0,4
