Entity,COR,INC,PAR,SPU,MIS,IGN
"Volesky",1,0,0,0,0,0
"Hollande",0,0,1,0,0,0
"Rahman Farms",0,0,0,1,0,0
"Work",0,0,0,1,0,0
"Zawr",0,0,0,1,0,0
"Dabiq",0,1,0,0,0,0
"Mohammed",1,0,0,0,0,0
"Saray",0,0,0,1,0,0
"Home",0,0,1,0,0,0
"Mistura",0,0,1,0,0,0
"Isiah L. Booker",0,0,1,0,0,0
"Bashar",0,0,1,0,0,0
"A spokesman",0,0,0,0,1,0
"Mohan",0,0,1,0,0,0
"John J. Thomas",0,0,1,0,0,0
"Tiyas Military Airfield",0,1,0,0,0,0
"Assad",1,0,0,0,0,0
"Defence",0,0,1,0,0,0
"Army",0,0,1,0,0,0
"an artillery crew chief in Abel Battery , 3rd Battalion",0,0,0,0,1,0
"Arabs",0,0,0,1,0,0
"Shakespeare",1,0,0,0,0,0
"Steel Curtain Arabic",0,0,0,1,0,0
"His Chief of Staff",0,0,0,0,1,0
"one of our brave service members",0,0,0,0,1,0
"Burns",0,0,0,0,1,0
"Jordan",0,1,0,0,0,0
"Haider Al Abadi",0,0,1,0,0,0
"Ar Raqqah",0,1,0,0,0,0
"Group",0,0,1,0,0,0
"Abu Ayyub Al - Masri",0,0,0,0,1,0
"Navy Capt",0,0,1,0,0,0
"Sunni Arab",0,0,0,1,0,0
"Amjad",0,0,0,0,1,0
"David C. Lyons",0,0,1,0,0,0
"Kurdish",0,1,0,0,0,0
"One young girl",0,0,0,0,1,0
"Affaires",0,0,0,1,0,0
"Mohamed Moumou",0,0,1,0,0,0
"Joint Task Force",0,0,0,1,0,0
"Gareth Bayley",1,0,0,0,0,0
"Kubra",0,0,0,1,0,0
"Dayton",1,0,0,0,0,0
"Al Raqqa",0,0,0,1,0,0
"myself",0,0,0,0,1,0
"Ahwal Brigades",0,0,0,1,0,0
"Kerry",0,0,1,0,0,0
"Sinjar",0,1,0,0,0,0
"Higher",0,0,1,0,0,0
"Mansurah Arabic",0,0,0,1,0,0
"Petty Officer Scott",0,0,1,0,0,0
"Coode",0,0,0,1,0,0
"John",0,0,1,0,0,0
"Lama Fakih",1,0,0,0,0,0
"Abdulbaset Alahmar",1,0,0,0,0,0
"Islam",1,0,0,0,0,0
"Ninety Four Citizen Airmen",0,0,1,0,0,0
"Operation Inherent Resolve Targeted Operations Against",0,0,1,0,0,0
"Embassy Charge",0,0,0,1,0,0
"Ahmed Kamil Murad",0,0,1,0,0,0
"Spc",0,0,1,0,0,0
"the Deputy Secretary",0,0,0,0,1,0
"Obama",0,0,1,0,0,0
"Air Force",0,0,0,1,0,0
"Anas",1,0,0,0,0,0
"Capt",0,0,1,0,0,0
"Shia Arab",0,1,0,0,0,0
"a senior Iraqi general",0,0,0,0,1,0
"Ellwood",0,0,1,0,0,0
"Al Qaeda",0,0,1,0,0,0
"Jamal",0,0,1,0,0,0
"Abboud Qanbar Arabic",0,0,1,0,0,0
"God",0,0,0,1,0,0
"Greenwich Mean Time",0,1,0,0,0,0
"Sarmada",0,0,0,1,0,0
"Al Shadaddi",0,1,0,0,0,0
"Tabqa Dam",0,1,0,0,0,0
"the lead Syrian commander for AQI ' s logistics",0,0,0,0,1,0
"Weeks",0,0,0,1,0,0
"Khani",0,0,0,1,0,0
"Berlin",0,0,0,1,0,0
"his",0,0,0,0,1,0
"Stephen J. Townsend",0,0,1,0,0,0
"Johnson",0,0,1,0,0,0
"Kurdistan Regional",0,0,0,1,0,0
"George Haswani",1,0,0,0,0,0
"Abu Haidar",1,0,0,0,0,0
"Defence Secretaries",0,0,0,1,0,0
"Twitter ABlinken",0,0,0,1,0,0
"Muslims",0,1,0,0,0,0
"Mr Alzoubi",0,0,0,0,1,0
"Karabilah",0,1,0,0,0,0
"One man",0,0,0,0,1,0
"Saddam",1,0,0,0,0,0
"Jihad Group",0,0,0,1,0,0
"Arabian Sea",0,0,0,1,0,0
"Haider",0,0,1,0,0,0
"Din Province",0,0,0,1,0,0
"Sadah",0,1,0,0,0,0
"Arabic",0,1,0,0,0,0
"Hammond",0,0,1,0,0,0
"Mogherini",1,0,0,0,0,0
"Sajida Mubarak Atrous",0,0,1,0,0,0
"Coalition Commanders",0,1,0,0,0,0
"a soldier",0,0,0,0,1,0
"Mr Colville",0,0,0,0,1,0
"a tribal leader",0,0,0,0,1,0
"Armed Forces",0,0,1,0,0,0
"The CJTF - OIR commanding general",0,0,0,0,1,0
"Syria",0,1,0,0,0,0
"my wife",0,0,0,0,1,0
"the resident leader of anti - coalition forces",0,0,0,0,1,0
"Tobias Ellwood",1,0,0,0,0,0
"the CJTF - OIR spokesperson",0,0,0,0,1,0
"Cook",1,0,0,0,0,0
"Near Rawah",0,0,0,1,0,0
"Qanbar",1,0,0,0,0,0
"Lyons",1,0,0,0,0,0
"Raqqa",0,1,0,0,0,0
"Nimr",0,0,0,1,0,0
"Hamlet",0,0,0,1,0,0
"sister",0,0,0,0,1,0
"Free Syrian Army",0,0,1,0,0,0
"Asad",1,0,0,0,0,0
"Christophe Cluzel",1,0,0,0,0,0
"the musician",0,0,0,0,1,0
"Counter Daesh Coalition",0,0,0,1,0,0
"Raqqah",0,1,0,0,0,0
"Counter ISIL",0,0,1,0,0,0
"Sergei Rudskoi",0,0,1,0,0,0
"Salah",0,0,0,1,0,0
"Votel",1,0,0,0,0,0
"Qatar",0,0,0,1,0,0
"Navy Senior",0,0,1,0,0,0
"Al Huwayjah",0,1,0,0,0,0
"Camp Hurriya",0,1,0,0,0,0
"Nechirvan Barzani",0,0,1,0,0,0
"Arab Coalition",0,0,0,1,0,0
"Exercise Eager",0,0,0,1,0,0
"Abu Musab",0,0,1,0,0,0
"Joseph L. Votel",0,0,1,0,0,0
"a former civil engineering student",0,0,0,0,1,0
"My",0,0,0,0,1,0
"Shia Muslim",0,0,0,1,0,0
"Amnesty International",0,1,0,0,0,0
"Tex",0,0,1,0,0,0
"Network Solutions",0,0,0,1,0,0
"Samarra Barrage Arabic",0,0,0,1,0,0
"the young man",0,0,0,0,1,0
"Tigris",0,0,0,1,0,0
"Eid",0,0,0,1,0,0
"Omar Abu Anas",1,0,0,0,0,0
"Twitter",0,0,0,1,0,0
"Lorraine Walsh",0,0,1,0,0,0
"the prime minister",0,0,0,0,1,0
"Jonathan Cohen",1,0,0,0,0,0
"Museums",0,0,1,0,0,0
"Deter",0,0,0,1,0,0
"Naval Forces Central Command",0,0,0,1,0,0
"Pentagon Press",0,1,0,0,0,0
"Saddam Hussein",1,0,0,0,0,0
"Travis Caughlin",0,0,1,0,0,0
"Hibhib Village",0,1,0,0,0,0
"Aleppo ISIL",0,0,1,0,0,0
"Shi",0,0,0,1,0,0
"A police officer",0,0,0,0,1,0
"Commodore Andrew Burns",0,0,0,0,1,0
"Dae",0,0,0,1,0,0
"Idlib",0,0,1,0,0,0
"Symbol FEC",0,0,0,1,0,0
"Lt Gen",0,0,1,0,0,0
"Darayya",0,1,0,0,0,0
"Peter Cook",0,0,1,0,0,0
"Ground",0,0,0,1,0,0
"Sadiq",1,0,0,0,0,0
"Rupert Colville",1,0,0,0,0,0
"Zahid Mohammed Rawi",1,0,0,0,0,0
"Kitab Al Jilwah",0,1,0,0,0,0
"Guard",0,0,0,1,0,0
"Disrupt",0,0,0,1,0,0
"Mazidi Arabic",0,0,0,1,0,0
"A man",0,0,0,0,1,0
"A non - governmental security analyst",0,0,0,0,1,0
"A local physician",0,0,0,0,1,0
"Tanawi",0,0,1,0,0,0
"Scholars",0,0,0,1,0,0
"Daquq",0,1,0,0,0,0
"Donors",0,1,0,0,0,0
"Maliki",1,0,0,0,0,0
"Karbouly",1,0,0,0,0,0
"Arab Emirates",0,0,0,1,0,0
"Abadi",1,0,0,0,0,0
"Ally",0,0,0,1,0,0
"al - Zarqawi",0,0,0,0,1,0
"King Nebuchadnezzar II",0,0,0,0,1,0
"Albert Connelly",0,0,0,0,1,0
"Anbar Province",0,0,0,1,0,0
"Hibhib Arabic",0,0,0,1,0,0
"Julie Bishop",0,0,1,0,0,0
"Philip Hammond",1,0,0,0,0,0
"Blinken",0,0,1,0,0,0
"Nouri Maliki",0,0,1,0,0,0
"Aleppo",0,1,0,0,0,0
"Ziad Khalaf",0,0,1,0,0,0
"Navy Special Warfare",0,0,1,0,0,0
"Reserve Airmen",0,0,1,0,0,0
"Human Rights",0,0,1,0,0,0
"Mount Sinjar",0,1,0,0,0,0
"Special Advisor Thames",1,0,0,0,0,0
"Fuad Masum",0,0,1,0,0,0
"Ensure",0,0,0,1,0,0
"The head of the country ' s counter - terrorism operations",0,0,0,0,1,0
"Ash Carter",0,0,1,0,0,0
"Kuwaiti",0,0,1,0,0,0
"Nouri",0,0,1,0,0,0
"Arab Army",0,0,1,0,0,0
"Syria No",0,0,0,1,0,0
"Abu Ghadiya",1,0,0,0,0,0
"Husaybah",0,1,0,0,0,0
"this hero",0,0,0,0,1,0
"Arabian Gulf",0,0,0,1,0,0
"Operation Steel Curtain",0,0,0,1,0,0
"Shima Summit",0,0,1,0,0,0
"Kentucky",0,0,0,1,0,0
"Staff Colonel Abd Alamir",1,0,0,0,0,0
"Manal",0,0,0,0,1,0
"Iron Fist",0,0,1,0,0,0
"Davis",1,0,0,0,0,0
"Another resident",0,0,0,0,1,0
"Sergei Lavrov",0,0,1,0,0,0
"Heritage SBAH",0,0,1,0,0,0
"Global Coalition",0,1,0,0,0,0
"the President of Syria",0,0,0,0,1,0
"Defense",0,0,1,0,0,0
"Executive Order",0,0,0,1,0,0
"Al Qa",0,0,1,0,0,0
"Booker",1,0,0,0,0,0
"Jeff Davis",1,0,0,0,0,0
"Knox Thames",1,0,0,0,0,0
"Flickr",0,0,0,1,0,0
"Gen. Coe",0,0,0,0,1,0
"Abu Ghadiya Arabic",0,0,1,0,0,0
"Talamenes",0,1,0,0,0,0
"one hostage",0,0,0,0,1,0
"Joseph Votel",1,0,0,0,0,0
"Alsumaria News Arabic",0,0,0,1,0,0
"Al Jubeir",0,0,0,1,0,0
"Al Assad University Hospital",0,1,0,0,0,0
"Spokesperson John Kirby",1,0,0,0,0,0
"Counter ISIL Brett",0,0,1,0,0,0
"Zarqawi",1,0,0,0,0,0
"Hezbollah",0,1,0,0,0,0
"Badr",0,1,0,0,0,0
"a middle - aged carpenter",0,0,0,0,1,0
"Jaafari",0,0,1,0,0,0
"Army General Joseph Votel",0,0,1,0,0,0
"his spiritual adviser",0,0,0,0,1,0
"Russell",1,0,0,0,0,0
"Karrada",0,1,0,0,0,0
"Lakes Habbaniyah",0,0,0,1,0,0
"The secretary",0,0,0,0,1,0
"Voganlei",0,0,0,1,0,0
"Ayn Isa",0,1,0,0,0,0
"Boris Johnson",1,0,0,0,0,0
"one child",0,0,0,0,1,0
"Karim Wasifi",1,0,0,0,0,0
"Damascus",0,1,0,0,0,0
"Explosive Ordnance Disposal Mobile",0,0,0,1,0,0
"Charles",0,0,1,0,0,0
"Karim",1,0,0,0,0,0
"MR KIRBY",0,0,0,0,1,0
"Steel Curtain",0,0,0,1,0,0
"Sarmin",0,1,0,0,0,0
"Immortal Spirits",0,0,1,0,0,0
"Follow BBCNewsMagazine",0,0,0,1,0,0
"Ibrahim Al Ja",0,0,1,0,0,0
"Armed",0,0,1,0,0,0
"Ibrahim",0,0,1,0,0,0
"Popular Mobilization Forces",0,1,0,0,0,0
"Omar",1,0,0,0,0,0
"Sabboura",0,1,0,0,0,0
"Peshmerga",0,1,0,0,0,0
"Ghadiya",1,0,0,0,0,0
"Al Qaida",0,0,0,1,0,0
"Badran Turki Hishan",0,0,1,0,0,0
"Skype",0,0,0,1,0,0
"Inquiry CoI",0,0,1,0,0,0
"an Iraqi tribal sheikh",0,0,0,0,1,0
"Lavrov",0,0,1,0,0,0
"Unified Trident",0,0,0,1,0,0
"Petty Officer Keating",0,0,0,0,1,0
"Imad",0,0,1,0,0,0
"Royal Air Force",0,1,0,0,0,0
"the Iraqi commander",0,0,0,0,1,0
"Armed Conflict",0,0,1,0,0,0
"Near Ar Raqqah",0,0,0,1,0,0
"Abu Ayyub Al Masri",0,0,0,1,0,0
"Ahmed Shawqi",1,0,0,0,0,0
"Anas Ahmad",1,0,0,0,0,0
"the secretary",0,0,0,0,1,0
"Forbin",0,1,0,0,0,0
"lieutenant Muath al - Kasasbeh",0,0,0,0,1,0
"Hotbird",0,1,0,0,0,0
"Ghuraba Brigades",0,0,0,1,0,0
"Monotheism Supporters Brigades",0,1,0,0,0,0
"Caughlin",1,0,0,0,0,0
"Ambassador Robert Ford",1,0,0,0,0,0
"Incirlik Air Base",0,0,1,0,0,0
"Boris Johnson Petty",0,0,1,0,0,0
"High Representative Federica Mogherini",1,0,0,0,0,0
"Abu Jandal",1,0,0,0,0,0
"Operation Inherent Resolve",0,1,0,0,0,0
"Kurdish Peshmerga",0,0,1,0,0,0
"Hilla",0,0,0,1,0,0
"her younger brother",0,0,0,0,1,0
"Kirkuk Province",0,0,0,1,0,0
"Haninge Municipality",0,0,0,1,0,0
"Al Anbar",0,1,0,0,0,0
"Royal Navy",0,1,0,0,0,0
"Richard",0,0,1,0,0,0
"Mevl",0,0,1,0,0,0
"Qaida",0,0,0,1,0,0
"Dayr Az Zayr",0,1,0,0,0,0
