Entity,COR,INC,PAR,SPU,MIS,IGN
"a middle - aged carpenter",0,0,0,0,1,0
"Ellwood",0,0,1,0,0,0
"Volesky",1,0,0,0,0,0
"retrograding",0,0,0,1,0,0
"the American service member",0,0,0,0,1,0
"Saddam Hussein",1,0,0,0,0,0
"Robert Ford",0,0,1,0,0,0
"Hollande",0,0,1,0,0,0
"Ibrahim al Jaafari",0,0,1,0,0,0
"Russell",1,0,0,0,0,0
"Karrada",0,1,0,0,0,0
"Imad Fakhoury",0,0,1,0,0,0
"Israel",0,1,0,0,0,0
"Travis Caughlin",0,0,1,0,0,0
"Gary J",0,0,1,0,0,0
"its Senior Advisor for MEK Resettlement",0,0,0,0,1,0
"Andrew Burns",0,0,1,0,0,0
"Da",0,0,1,0,0,0
"Gen Sergei Rudskoi",0,0,1,0,0,0
"Joseph L",0,0,1,0,0,0
"Jamal Alzoubi",1,0,0,0,0,0
"Dabiq",0,1,0,0,0,0
"Boris Johnson",1,0,0,0,0,0
"one child",0,0,0,0,1,0
"Karim Wasifi",1,0,0,0,0,0
"Shi",0,0,0,1,0,0
"A police officer",0,0,0,0,1,0
"one of the SNCOs",0,0,0,0,1,0
"Dae",0,0,0,1,0,0
"the lead Syrian commander for AQI ' s logistics",0,0,0,0,1,0
"Mohammed",1,0,0,0,0,0
"Saray",0,0,0,1,0,0
"Darayya",0,1,0,0,0,0
"Stephen J",0,0,1,0,0,0
"Karim",1,0,0,0,0,0
"NAVCENT",0,1,0,0,0,0
"his",0,0,0,0,1,0
"his Chief of Plans",0,0,0,0,1,0
"A spokesman",0,0,0,0,1,0
"the Minister",0,0,0,0,1,0
"Peter Cook",0,0,1,0,0,0
"George Haswani",1,0,0,0,0,0
"Federica Mogherini",0,0,1,0,0,0
"Abu Haidar",1,0,0,0,0,0
"Assad",1,0,0,0,0,0
"Sadiq",1,0,0,0,0,0
"Rupert Colville",1,0,0,0,0,0
"Zahid Mohammed Rawi",1,0,0,0,0,0
"OIR",0,1,0,0,0,0
"Karabilah",0,1,0,0,0,0
"One man",0,0,0,0,1,0
"Omar",1,0,0,0,0,0
"Tabqa",0,1,0,0,0,0
"Hurriya",0,0,0,1,0,0
"David C",0,0,1,0,0,0
"Saddam",1,0,0,0,0,0
"Ghadiya",1,0,0,0,0,0
"Bashar al Assad",0,0,1,0,0,0
"Al Qaida",0,0,0,1,0,0
"Charles H",0,0,1,0,0,0
"A man",0,0,0,0,1,0
"Mahan",0,0,0,1,0,0
"Tony Blinken",0,0,1,0,0,0
"al Zarqawi",0,0,1,0,0,0
"Badran Turki",0,0,1,0,0,0
"Prince",0,0,0,1,0,0
"Isiah L",0,0,1,0,0,0
"Lavrov",0,0,1,0,0,0
"Petty Officer Keating",0,0,0,0,1,0
"Prime Minister Abadi",0,0,0,0,1,0
"Coe",0,0,1,0,0,0
"Knox",0,0,1,0,0,0
"Haider al Abadi",0,0,1,0,0,0
"Mogherini",1,0,0,0,0,0
"Mr Hammond",1,0,0,0,0,0
