Entity,COR,INC,PAR,SPU,MIS,IGN
"Chapter three",0,0,0,0,1,0
"Army of the Victorious Sect",0,1,0,0,0,0
"The liberation of the University of Mosul means much , given its cultural , social and human symbolism",0,0,0,1,0,0
"core texts of the religion",0,0,0,0,1,0
"its English - language magazine",0,0,0,0,1,0
""" Books motivate us to keep on going",0,0,0,1,0,0
"the chapter",0,0,0,0,1,0
"all five chapters of this book",0,0,0,0,1,0
"the Black Book",1,0,0,0,0,0
"Chapter two",0,0,0,0,1,0
"the Constitution",0,0,0,0,1,0
"Operation : Steel Curtain",0,0,0,1,0,0
"a report on the human rights situation in Syria",0,0,0,0,1,0
"The report",0,0,0,0,1,0
""" Lt Gen Talib Shaghati ,",0,0,0,1,0,0
"The Yazidi Book of Revelation Kit e ba Cilwe",0,0,1,0,0,0
"the Board of Inquiry ’ s report",0,0,0,0,1,0
"Operation : Iron Fist",0,0,0,1,0,0
"holy books",0,0,0,0,1,0
"UN Board of Inquiry ’ s summary of its investigation",0,0,0,0,1,0
"The Book of Revelation",1,0,0,0,0,0
"Truly I swear the library",0,0,0,1,0,0
"today ’ s announcement",0,0,0,0,1,0
"Chapter four",0,0,0,0,1,0
"two books",0,0,0,0,1,0
""" Even in the heat of battle , armed forces should take all feasible precautions to avoid harming civilians , """,0,0,0,1,0,0
"books",0,0,0,0,1,0
"Samarra Barrage Arabic",0,0,0,1,0,0
"The Resolution",0,0,0,0,1,0
"media reports",0,0,0,0,1,0
"Husaybah with an",0,0,0,1,0,0
"Daesh",0,1,0,0,0,0
"the Book of Revelation",1,0,0,0,0,0
"' s OK",0,0,0,1,0,0
"Chapter one of the Book of Revelation",0,0,0,0,1,0
"Operation Steel Curtain",0,0,0,1,0,0
"The full report",0,0,0,0,1,0
"the library ' s books",0,0,0,0,1,0
"logo",0,0,0,0,1,0
"chapters",0,0,0,0,1,0
"the hymns known as qewl",0,0,0,0,1,0
"Turkey ’ s constitution",0,0,0,0,1,0
"The manual",0,0,0,0,1,0
"Kitab Al Jilwah",0,0,0,0,1,0
"A U. S.",0,0,0,1,0,0
*TOTAL*,3,2,1,12,54,0
