Entity,COR,INC,PAR,SPU,MIS,IGN
"Chapter three",1,0,0,0,0,0
"the G 20 Interfaith Conference",0,0,0,1,0,0
"the Yazidi Black Book",0,0,0,0,1,0
"core texts of the religion",0,0,0,0,1,0
"its English - language magazine",0,0,0,0,1,0
"the chapter",0,0,0,0,1,0
"the Cessation of Hostilities",0,0,0,1,0,0
"the permits",0,0,0,0,1,0
"the Foreign Ministers of Iran",0,0,0,1,0,0
"the Ministers of Foreign Affairs",0,0,0,1,0,0
"CENTCOM",0,1,0,0,0,0
"all five chapters of this book",0,0,0,0,1,0
"a report on the human rights situation in Syria",0,0,0,0,1,0
"Chapter two",0,0,0,0,1,0
"the Constitution",0,0,0,0,1,0
"The report",0,0,0,0,1,0
"the Board of Inquiry ’ s report",0,0,0,0,1,0
"holy books",0,0,0,0,1,0
"UN Board of Inquiry ’ s summary of its investigation",0,0,0,0,1,0
"today ’ s announcement",0,0,0,0,1,0
"Chapter four",0,0,0,0,1,0
"Chapter five",1,0,0,0,0,0
"two books",0,0,0,0,1,0
"Coalition Commanders",0,1,0,0,0,0
"The report by the UN Independent Commission of Inquiry ( CoI ) on Syria",0,0,0,0,1,0
"the Criminal Code",0,0,1,0,0,0
"books",0,0,0,0,1,0
"The Resolution",0,0,0,0,1,0
"media reports",0,0,0,0,1,0
"Resolution 2249",1,0,0,0,0,0
"the UN Special Envoy Staffan de Mistura",0,1,0,0,0,0
"Resolution 2328",1,0,0,0,0,0
"Chapter one of the Book of Revelation",1,0,0,0,0,0
"work permits",0,0,0,0,1,0
"logo",0,0,0,0,1,0
"The full report",0,0,0,0,1,0
"the library ' s books",0,0,0,0,1,0
"the hymns known as qewl",0,0,0,0,1,0
"chapters",0,0,0,0,1,0
"Turkey ’ s constitution",0,0,0,0,1,0
"The manual",0,0,0,0,1,0
*TOTAL*,5,3,1,4,56,0
