Entity,COR,INC,PAR,SPU,MIS,IGN
"all Syrians",0,0,0,0,1,0
"families",0,0,0,0,1,0
"independent media",0,0,0,0,1,0
"U. S. Naval Forces Central Command '",0,0,0,1,0,0
"Iraqi government forces",0,0,0,0,1,0
"Many of his comrades",0,0,0,0,1,0
"its partners on the ground",0,0,0,0,1,0
"Peshmerga",0,0,0,0,1,0
"the insurgency",0,0,0,0,1,0
"international heritage experts",0,0,0,0,1,0
"Iraqi soldiers",0,0,0,0,1,0
"The Syrian Computer Society",1,0,0,0,0,0
"Iraqi military officials",0,0,0,0,1,0
"Syrian democratic forces",0,0,0,0,1,0
"the UN Security Council",1,0,0,0,0,0
"Kurdish Peshmerga fighters",0,0,0,0,1,0
"the UN Independent Commission of Inquiry CoI",0,0,1,0,0,0
"his government",0,0,0,0,1,0
"WMF",1,0,0,0,0,0
"EU markets",0,0,0,0,1,0
"international partners",0,0,0,0,1,0
"the Jordanians",0,0,0,0,1,0
"the Amphibious Task Group",0,0,1,0,0,0
"ourselves",0,0,0,0,1,0
"the international coalition",0,0,0,0,1,0
"their fighters",0,0,0,0,1,0
"Navy",0,0,1,0,0,0
"Syrian regime aircrew",0,0,0,0,1,0
"all political parties",0,0,0,0,1,0
"all communities",0,0,0,0,1,0
"ISIL tactical unit",0,0,0,0,1,0
"Combined Joint Forces Land Component Command Operation Inherent Resolve",0,0,1,0,0,0
"prisoners",0,0,0,0,1,0
"guarantors of the ceasefire",0,0,0,0,1,0
"coalition forces",0,0,0,0,1,0
"Assad",0,1,0,0,0,0
"Fort Campbell",0,0,0,1,0,0
"our Kurdish partners",0,0,0,0,1,0
"Some members",0,0,0,0,1,0
"the Small Group",1,0,0,0,0,0
"Ninety - Four Citizen Airmen",0,0,0,0,1,0
"United",0,0,1,0,0,0
"Defence",0,0,1,0,0,0
"friends",0,0,0,0,1,0
"our international",0,0,0,0,1,0
"other perpetrators of human rights abuses",0,0,0,0,1,0
"young Iraqis",0,0,0,0,1,0
"Monotheism Supporters Brigades",0,0,0,0,1,0
"Syrian government forces",0,0,0,0,1,0
"them",0,0,0,0,1,0
"U. S. Air Force",0,0,0,1,0,0
"the Cessation of Hostilities",0,0,1,0,0,0
"an aid convoy",0,0,0,0,1,0
"these brutal terrorists",0,0,0,0,1,0
"an interagency delegation",0,0,0,0,1,0
"Asad regime",0,0,0,0,1,0
"the global coalition",0,0,0,0,1,0
"the UK France Summit 2016",0,0,1,0,0,0
"the Islamic State of Iraq",0,0,1,0,0,0
