Entity,COR,INC,PAR,SPU,MIS,IGN
"the Yazidi Black Book",0,0,0,0,1,0
"core texts of the religion",0,0,0,0,1,0
"its English - language magazine",0,0,0,0,1,0
"the chapter",0,0,0,0,1,0
"Army Lt",0,0,0,1,0,0
"Samarra Barrage Arabic :",0,0,0,1,0,0
"the permits",0,0,0,0,1,0
"Caughlin",0,1,0,0,0,0
"all five chapters of this book",0,0,0,0,1,0
"a report on the human rights situation in Syria",0,0,0,0,1,0
"Chapter two",0,0,0,0,1,0
"the Constitution",0,0,0,0,1,0
"Operation : Steel Curtain",0,0,0,1,0,0
""" Lt Gen Talib Shaghati",0,0,0,1,0,0
"The report",0,0,0,0,1,0
""" Army of the Victorious Sect """,0,0,0,1,0,0
"The Yazidi Book of Revelation Kit e ba Cilwe",0,0,1,0,0,0
"the Board of Inquiry ’ s report",0,0,0,0,1,0
"Operation : Iron Fist",0,0,0,1,0,0
"holy books",0,0,0,0,1,0
"UN Board of Inquiry ’ s summary of its investigation",0,0,0,0,1,0
"The Book of Revelation",1,0,0,0,0,0
"Religious Minorities in the Near East and South and Central Asia",0,0,0,1,0,0
"today ’ s announcement",0,0,0,0,1,0
"Chapter four",0,0,0,0,1,0
"two books",0,0,0,0,1,0
"The report by the UN Independent Commission of Inquiry ( CoI ) on Syria",0,0,0,0,1,0
"The CJTF OIR commanding general , Lt. Gen. Townsend",0,0,0,1,0,0
"books",0,0,0,0,1,0
"Q West",0,0,0,1,0,0
"The Resolution",0,0,0,0,1,0
"media reports",0,0,0,0,1,0
"the Book of Revelation and the Black Book",0,0,1,0,0,0
"' s OK",0,0,0,1,0,0
"He ' s",0,0,0,1,0,0
"Tharthar Barrage Arabic",0,0,0,1,0,0
"work permits",0,0,0,0,1,0
"Operation Steel Curtain",0,0,0,1,0,0
"The full report",0,0,0,0,1,0
"the library ' s books",0,0,0,0,1,0
"logo",0,0,0,0,1,0
"chapters",0,0,0,0,1,0
"the hymns known as qewl",0,0,0,0,1,0
"Turkey ’ s constitution",0,0,0,0,1,0
"The manual",0,0,0,0,1,0
*TOTAL*,1,1,2,13,56,0
