Entity,COR,INC,PAR,SPU,MIS,IGN
"19 September",0,0,0,0,1,0
"2011",0,0,0,0,1,0
"3 March",0,0,0,0,1,0
"This week",0,0,0,0,1,0
"early next year",0,0,0,0,1,0
"the last 24 hours",0,0,0,0,1,0
"12 February",0,0,0,0,1,0
"4 April",0,0,0,0,1,0
"mid January",0,0,0,0,1,0
"October 2005",0,0,0,0,1,0
"one year",0,0,0,0,1,0
"the past 20 - plus months",0,0,0,0,1,0
"2 December",0,0,0,0,1,0
"45 minutes",0,0,0,0,1,0
"575 B . C",0,0,0,0,1,0
"December 2014",0,0,0,0,1,0
"the morning",0,0,0,0,1,0
"the end of the year",0,0,0,0,1,0
"nearly four years",0,0,0,0,1,0
"October 29",0,0,0,0,1,0
"10 a.m.",0,0,0,0,1,0
"two years",0,0,0,0,1,0
"the first week",0,0,0,0,1,0
"15 minutes",0,0,0,0,1,0
"the past three days",0,0,0,0,1,0
"A year ago",0,0,0,0,1,0
"25 June",0,0,0,0,1,0
"the eve of a New Year",0,0,0,0,1,0
"nearly four long years",0,0,0,0,1,0
"the past 24 hours",0,0,0,0,1,0
"the night of the attack",0,0,0,0,1,0
"this Thanksgiving",0,0,0,0,1,0
"this Thanksgiving Day",0,0,0,0,1,0
"11 December",0,0,0,0,1,0
"three weeks",0,0,0,0,1,0
"September",0,0,0,0,1,0
"years",0,0,0,0,1,0
"last July",0,0,0,0,1,0
"a festive night just before the Muslim Eid celebration",0,0,0,0,1,0
"time of the attack",0,0,0,0,1,0
"Later in the day",0,0,0,0,1,0
"The following day",0,0,0,0,1,0
"four years ago",0,0,0,0,1,0
"weeks",0,0,0,0,1,0
"October 25 - 26 , 2016",0,0,0,0,1,0
"the following day",0,0,0,0,1,0
"recent days",0,0,0,0,1,0
"four more days",0,0,0,0,1,0
"two months",0,0,0,0,1,0
"' Z '",0,0,0,0,1,0
"four days later",0,0,0,0,1,0
"this week",0,0,0,0,1,0
"seven days",0,0,0,0,1,0
"tomorrow",0,0,0,0,1,0
"eight days ago",0,0,0,0,1,0
"10 December",0,0,0,0,1,0
"29 December",0,0,0,0,1,0
"1977 - 1979",0,0,0,0,1,0
"two weeks",0,0,0,0,1,0
"six or seven hours",0,0,0,0,1,0
"1980 - 88",0,0,0,0,1,0
"the past two weeks",0,0,0,0,1,0
"months",0,0,0,0,1,0
"next year",0,0,0,0,1,0
"2 years",0,0,0,0,1,0
"daylight hours from late morning to early evening",1,0,0,0,0,0
"10 May",0,0,0,0,1,0
"past 24 hours",0,0,0,0,1,0
"the coming days and weeks",0,0,0,0,1,0
"Next month",0,0,0,0,1,0
"the summer of 2017",0,0,0,0,1,0
"Ramadan",0,0,0,0,1,0
"23 May 2006",0,0,0,0,1,0
"spring",0,0,0,0,1,0
"Thanksgiving Day",0,0,0,0,1,0
"12 months",0,0,0,0,1,0
"the last year",0,0,0,0,1,0
"yesterday",0,0,0,0,1,0
"a few hours before",0,0,0,0,1,0
"every day",0,0,0,0,1,0
"the end of last year",0,0,0,0,1,0
"93rd anniversary",0,0,0,0,1,0
"5 - 6 April 2016",0,0,0,0,1,0
*TOTAL*,1,0,0,0,164,0
