Entity,COR,INC,PAR,SPU,MIS,IGN
"the UK France Summit 2016",0,0,0,0,0,1
"the Tharthar Barrage",0,1,0,0,0,0
"Operation Inherent Resolve",0,1,0,0,0,0
"a New Year",0,0,0,0,0,1
"the G7 Ise Shima Summit",0,0,0,0,0,1
"the G 20 Interfaith Conference",0,0,0,0,0,1
"this Thanksgiving Day",0,1,0,0,0,0
"the UN Security Council Resolutions 2254",0,0,0,0,0,1
"CJTF",0,1,0,0,0,0
"the Iran Iraq War",0,0,0,0,0,1
"Combined Joint Forces Land Component Command Operation Inherent Resolve",0,0,0,0,0,1
"the Syrian civil war",0,0,0,0,0,1
"Gulf War",0,0,0,0,0,1
"Operation Steel Curtain",0,0,0,0,0,1
"Eid",0,0,0,0,0,1
"the 2003 war",0,0,0,0,0,1
"Operation Matador",0,0,0,0,0,1
"Thanksgiving",0,0,0,0,0,1
*TOTAL*,0,4,0,0,0,14
